slave_type,cse_drv_ver_min,cse_drv_ver_max,registers,parameters,vivado_ver_max,comment
0x0,0,10000,,,,
0x1,0,10000,,,,
0x11,1,1,ila_slave.csv,ila_slave_parameters.csv,,
0x11,2,2,ila_slave2.csv,ila_slave_parameters.csv,,
0x21,1,1,vio_slave.csv,vio_slave_parameters.csv,,
0x46,1,1,ibert_slave_k7gtx_channel.csv,ibert_slave_k7gtx_channel_parameters.csv,,
0x47,1,1,ibert_slave_k7gtx_common.csv,ibert_slave_k7gtx_common_parameters.csv,,
0x48,1,1,isibert_slave_7sgtx_channel.csv,isibert_slave_7sgtx_channel_parameters.csv,,
0x49,1,1,isibert_slave_7sgtx_common.csv,isibert_slave_7sgtx_common_parameters.csv,,
0x4A,1,1,ibert_slave_7sgth_channel.csv,ibert_slave_7sgth_channel_parameters.csv,,
0x4B,1,1,ibert_slave_7sgth_common.csv,ibert_slave_7sgth_common_parameters.csv,,
0x53,1,1,default_slave.csv,default_slave_parameters.csv,,
0x63,1,1,default_slave.csv,default_slave_parameters.csv,,
0x71,1,1,j2a_slave.csv,j2a_slave_parameters.csv,,
0x80,1,2,,,2014.4,
0x81,1,1,mig_slave.csv,,2015.2,
0x81,2,2,mig_slave.csv,mig_slave_parameters.csv,,
0x82,1,1,mig_slave.csv,,2015.2,
0x82,2,2,mig_slave.csv,mig_slave_parameters.csv,,
0x83,1,1,mig_slave.csv,,2015.2,
0x83,2,2,mig_slave.csv,mig_slave_parameters.csv,,
0x84,1,1,mig_slave.csv,,2015.2,
0x84,2,2,mig_slave.csv,mig_slave_parameters.csv,,
0x86,2,2,mig_slave.csv,mig_slave_parameters.csv,,
0x88,2,2,mig_slave.csv,mig_slave_parameters.csv,,
0x89,2,2,mig_slave.csv,mig_slave_parameters.csv,,
0x400,1,1,ibert_slave_7sgtp_channel.csv,ibert_slave_7sgtp_channel_parameters.csv,,
0x401,1,1,ibert_slave_7sgtp_common.csv,ibert_slave_7sgtp_common_parameters.csv,,
0x404,1,1,ibert_slave_7sgtz.csv,ibert_slave_7sgtz_parameters.csv,,
0x406,1,1,ibert_slave_ucgth_channel.csv,ibert_slave_ucgth_channel_parameters.csv,,
0x406,2,3,ibert_slave_ucgth_channel_ver2.csv,ibert_slave_ucgth_channel_parameters.csv,,
0x407,1,3,ibert_slave_ucgth_common.csv,ibert_slave_ucgth_common_parameters.csv,,
0x408,1,2,isibert_slave_ucgth_channel.csv,isibert_slave_ucgth_channel_parameters.csv,,
0x40A,1,3,ibert_slave_ucgty_channel.csv,ibert_slave_ucgty_channel_parameters.csv,,
0x40B,1,3,ibert_slave_ucgty_common.csv,ibert_slave_ucgty_common_parameters.csv,,
0x40C,1,2,isibert_slave_ucgty_channel.csv,isibert_slave_ucgty_channel_parameters.csv,,
0x40E,1,1,ibert_slave_upgth_channel.csv,ibert_slave_upgth_channel_parameters.csv,,
0x40F,1,1,ibert_slave_upgth_common.csv,ibert_slave_upgth_common_parameters.csv,,
0x410,1,1,ibert_slave_upgty_channel.csv,ibert_slave_upgty_channel_parameters.csv,,
0x411,1,1,ibert_slave_upgty_common.csv,ibert_slave_upgty_common_parameters.csv,,
0x412,1,1,isibert_slave_upgth_channel.csv,isibert_slave_upgth_channel_parameters.csv,,
0x413,1,1,isibert_slave_upgty_channel.csv,isibert_slave_upgty_channel_parameters.csv,,
0x414,1,1,ibert_slave_upgtr.csv,ibert_slave_upgtr_parameters.csv,,
