PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
qpll_n_divider,0,16,DRP.QPLL_FBDIV_RATIO=1,DRP.QPLL_FBDIV=0000100000,,,,,,,,,
qpll_n_divider,1,20,DRP.QPLL_FBDIV_RATIO=1,DRP.QPLL_FBDIV=0000110000,,,,,,,,,
qpll_n_divider,2,32,DRP.QPLL_FBDIV_RATIO=1,DRP.QPLL_FBDIV=0001100000,,,,,,,,,
qpll_n_divider,3,40,DRP.QPLL_FBDIV_RATIO=1,DRP.QPLL_FBDIV=0010000000,,,,,,,,,
qpll_n_divider,4,64,DRP.QPLL_FBDIV_RATIO=1,DRP.QPLL_FBDIV=0011100000,,,,,,,,,
qpll_n_divider,5,66,DRP.QPLL_FBDIV_RATIO=0,DRP.QPLL_FBDIV=0101000000,,,,,,,,,
qpll_n_divider,6,80,DRP.QPLL_FBDIV_RATIO=1,DRP.QPLL_FBDIV=0100100000,,,,,,,,,
qpll_n_divider,7,100,DRP.QPLL_FBDIV_RATIO=1,DRP.QPLL_FBDIV=0101110000,,,,,,,,,
qpll_refclk_div,0,1,DRP.QPLL_REFCLK_DIV=10000,,,,,,,,,,
qpll_refclk_div,1,2,DRP.QPLL_REFCLK_DIV=00000,,,,,,,,,,
qpll_refclk_div,2,3,DRP.QPLL_REFCLK_DIV=00001,,,,,,,,,,
qpll_refclk_div,3,4,DRP.QPLL_REFCLK_DIV=00010,,,,,,,,,,
qpll_refclk_div,4,5,DRP.QPLL_REFCLK_DIV=00011,,,,,,,,,,
qpll_refclk_div,5,6,DRP.QPLL_REFCLK_DIV=00101,,,,,,,,,,
qpll_refclk_div,6,8,DRP.QPLL_REFCLK_DIV=00110,,,,,,,,,,
qpll_refclk_div,7,10,DRP.QPLL_REFCLK_DIV=00111,,,,,,,,,,
qpll_refclk_div,8,12,DRP.QPLL_REFCLK_DIV=01101,,,,,,,,,,
qpll_refclk_div,9,16,DRP.QPLL_REFCLK_DIV=01110,,,,,,,,,,
qpll_refclk_div,10,20,DRP.QPLL_REFCLK_DIV=01111,,,,,,,,,,
qpllrefclksel,0,Reserved,PORT.QPLLREFCLKSEL=000,,,,,
qpllrefclksel,1,GTREFCLK0,PORT.QPLLREFCLKSEL=001,,,,,
qpllrefclksel,2,GTREFCLK1,PORT.QPLLREFCLKSEL=010,,,,,
qpllrefclksel,3,GTNORTHREFCLK0,PORT.QPLLREFCLKSEL=011,,,,,
qpllrefclksel,4,GTNORTHREFCLK1,PORT.QPLLREFCLKSEL=100,,,,,
qpllrefclksel,5,GTSOUTHREFCLK0,PORT.QPLLREFCLKSEL=101,,,,,
qpllrefclksel,6,GTSOUTHREFCLK1,PORT.QPLLREFCLKSEL=110,,,,,
qpllrefclksel,7,GTGREFCLK,PORT.QPLLREFCLKSEL=111,,,,,
