NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,CTL,STAT,CONST,SAMP_EN,RH,CPLX_LOCAL,GROUP
DRP.PLL0_CFG,2,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_CFG,3,1,0,10,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_IPS_REFCLK_SEL,3,0,12,14,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_IPS_EN,3,0,15,15,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_FBDIV,4,0,0,5,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_FBDIV_45,4,0,7,7,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_REFCLK_DIV,4,0,9,13,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_LOCK_CFG,5,0,0,8,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_INIT_CFG,6,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_INIT_CFG,7,1,0,7,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.RSVD_ATTR0,000A,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1LOCKDETCLKINV,000D,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0LOCKDETCLKINV,000D,0,1,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.TSTREFCLK1INV,000D,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.TSTREFCLK0INV,000D,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.GTGREFCLK1INV,000D,0,4,4,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLLCLKSPAREINV,000D,0,5,5,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PMASCANCLK1INV,000D,0,6,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PMASCANCLK0INV,000D,0,7,7,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.DRPCLKINV,000D,0,8,8,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.GTGREFCLK0INV,000D,0,9,9,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL0_DMON_CFG,000F,0,0,0,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_DMON_CFG,000F,0,1,1,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.COMMON_AMUX_SEL,000F,0,2,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.AQDMUXSEL,000F,0,4,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.COMMON_CFG,11,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.COMMON_CFG,12,1,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL_CLKOUT_CFG,13,0,0,7,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.WEST_REFCLK1_SEL,14,0,0,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.WEST_REFCLK0_SEL,14,0,4,5,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.EAST_REFCLK0_SEL,14,0,8,9,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.EAST_REFCLK1_SEL,14,0,12,13,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.REFCLK_TERM,15,0,0,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.REFCLK_HROW_SEL,15,0,3,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.REFCLK_CM,15,0,8,9,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.REFCLK_SWING,15,0,11,12,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.COMMON_INSTANTIATED,16,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.BIAS_CFG,19,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.BIAS_CFG,001A,1,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.BIAS_CFG,001B,2,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.BIAS_CFG,001C,3,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_BGMONITOREN,001E,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_BGPD,001E,0,1,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_GTREFCLKPD0,001E,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_GTREFCLKPD1,001E,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_PLL0LOCKEN,001E,0,4,4,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_PLL0PD,001E,0,5,5,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_PLL0RESET,001E,0,6,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_PLL1LOCKEN,001E,0,7,7,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_PLL1PD,001E,0,8,8,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.A_PLL1RESET,001E,0,9,9,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.AEN_RESET,20,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.AEN_REFCLK,20,0,1,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.AEN_PLL,20,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.AEN_PD,20,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.AEN_MASTER,20,0,4,4,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.AEN_BGBS,20,0,5,5,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.RSVD_ATTR1,24,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_INIT_CFG,28,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_INIT_CFG,29,1,0,7,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_LOCK_CFG,002A,0,0,8,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_FBDIV,002B,0,0,5,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_FBDIV_45,002B,0,7,7,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_REFCLK_DIV,002B,0,9,13,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_CFG,002C,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_CFG,002D,1,0,10,attr,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_IPS_REFCLK_SEL,002D,0,12,14,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
DRP.PLL1_IPS_EN,002D,0,15,15,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_COMMON
PORT.BGBYPASS,200,0,0,0,port,rw,1,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.BGMONITORENB,200,0,1,1,port,rw,1,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.BGPDB,200,0,2,2,port,rw,1,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.BGRCALOVRDENB,200,0,3,3,port,rw,1,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL0LOCKEN,200,0,4,4,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL1LOCKEN,200,0,5,5,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL0PD,200,0,6,6,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL1PD,200,0,7,7,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL0RESET,200,0,8,8,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL1RESET,200,0,9,9,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.RCALENB,200,0,10,10,port,rw,1,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLLRSVD1,201,0,0,15,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL0REFCLKSEL,202,0,0,2,port,rw,001,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL1REFCLKSEL,202,0,3,5,port,rw,001,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.BGRCALOVRD,202,0,6,10,port,rw,11111,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLLRSVD2,202,0,11,15,port,rw,11111,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PMARSVD,203,0,0,7,port,rw,0,y,1,0,0,0,0,0,GTPE2_COMMON
PORT.PLL0FBCLKLOST,204,0,0,0,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.PLL1FBCLKLOST,204,0,1,1,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.PLL0LOCK,204,0,2,2,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.PLL1LOCK,204,0,3,3,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.PLL0REFCLKLOST,204,0,4,4,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.PLL1REFCLKLOST,204,0,5,5,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.REFCLKOUTMONITOR0,204,0,6,6,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.REFCLKOUTMONITOR1,204,0,7,7,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
PORT.PMARSVDOUT,205,0,0,15,port,r,,y,0,1,0,0,0,0,GTPE2_COMMON
LOGIC.MGT_COORDINATE,300,0,0,15,logic,r,,y,0,0,1,0,0,0,GTPE2_COMMON
LOGIC.MGT_NUMBER,301,0,0,15,logic,r,,y,0,0,1,0,0,0,GTPE2_COMMON
LOGIC.TXCLKRESET,302,0,0,1,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.RXCLKRESET,302,0,2,3,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.TXCLKLOCKED,303,0,4,4,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.RXCLKLOCKED,303,0,5,5,logic,rw,0,y,1,0,0,0,0,0,
LOGIC.DEVICE_FAMILY,344,0,0,15,status,r ,,y,0,1,1,0,0,0,
LOGIC.DEVICE_TYPE,345,0,0,15,status,r ,,y,0,1,1,0,0,0,
LOGIC.DEVICE_PACKAGE,346,0,0,15,status,r ,,y,0,1,1,0,0,0,
