NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,CTL,STAT,CONST,SAMP_EN,RH,CPLX_LOCAL,GROUP
DRP.PMA_CTRL_1_LANE0,0,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE0,1,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_MODE_SEL_LANE7,1E00,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_MODE_SEL_LANE7,1E00,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_LOOPBACK_SEL_LANE7,1E00,0,4,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXOUTCLK_SEL_LANE7,1E00,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXOUTCLK_SEL_LANE7,1E00,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE7,1E00,0,11,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE0,2,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE0,3,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE0,6,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE0,7,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE0,10,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE7,1E01,1,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_RESET_ON_BITSLIP_LANE7,1E01,0,1,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXFIFO_EN_LANE7,1E01,0,2,2,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_CLK_GATING_EN_LANE7,1E01,0,3,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_EN_LANE7,1E01,0,4,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_CLK_GATING_EN_LANE7,1E01,0,5,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_NEAREND_LPBK_CLK_SEL_LANE7,1E01,0,6,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_SAMPLE_PERIOD_LANE7,1E01,0,7,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_SAMPLE_PERIOD_LANE7,1E01,0,10,12,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE0,11,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE0,12,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE0,13,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE0,16,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE0,17,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE0,78,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE0,79,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE0,80,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE0,81,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_MODE_LANE7,1E02,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESETDONE_IGNORE_RDY_LANE7,1E02,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXPMARESET_TIME_LANE7,1E02,0,4,11,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE7,1E02,0,12,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE0,118,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE0,119,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_MODE_SEL_LANE0,200,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_MODE_SEL_LANE0,200,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_LOOPBACK_SEL_LANE0,200,0,4,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXOUTCLK_SEL_LANE0,200,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXOUTCLK_SEL_LANE0,200,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE0,200,0,11,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE0,201,1,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_RESET_ON_BITSLIP_LANE0,201,0,1,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXFIFO_EN_LANE0,201,0,2,2,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_CLK_GATING_EN_LANE0,201,0,3,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_EN_LANE0,201,0,4,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_CLK_GATING_EN_LANE0,201,0,5,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_NEAREND_LPBK_CLK_SEL_LANE0,201,0,6,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_SAMPLE_PERIOD_LANE0,201,0,7,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_SAMPLE_PERIOD_LANE0,201,0,10,12,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_MODE_LANE0,202,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESETDONE_IGNORE_RDY_LANE0,202,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXPMARESET_TIME_LANE0,202,0,4,11,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE0,202,0,12,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE0,203,1,0,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXRESETDONE_TIME_LANE0,203,0,4,14,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_FIBINITDONE_LANE0,204,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_GTZINITDONE_LANE0,204,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE0,204,0,10,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE0,205,1,0,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.GTZ_POWER_UP_LANE0,206,0,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXUSRCLK_SEL_LANE0,206,0,1,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXUSRCLK_SEL_LANE0,206,0,4,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_MULTICAST_GROUP_ID_LANE0,208,0,0,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_IGNORE_BROADCAST_LANE0,208,0,8,8,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE1,400,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE1,401,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE1,402,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE1,403,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE1,406,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE1,407,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE1,410,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE1,411,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE1,412,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE1,413,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE1,416,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE1,417,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE1,478,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE1,479,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE1,480,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE1,481,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE1,518,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE1,519,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_MODE_SEL_LANE1,600,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_MODE_SEL_LANE1,600,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_LOOPBACK_SEL_LANE1,600,0,4,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXOUTCLK_SEL_LANE1,600,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXOUTCLK_SEL_LANE1,600,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE1,600,0,11,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE1,601,1,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_RESET_ON_BITSLIP_LANE1,601,0,1,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXFIFO_EN_LANE1,601,0,2,2,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_CLK_GATING_EN_LANE1,601,0,3,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_EN_LANE1,601,0,4,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_CLK_GATING_EN_LANE1,601,0,5,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_NEAREND_LPBK_CLK_SEL_LANE1,601,0,6,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_SAMPLE_PERIOD_LANE1,601,0,7,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_SAMPLE_PERIOD_LANE1,601,0,10,12,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_MODE_LANE1,602,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESETDONE_IGNORE_RDY_LANE1,602,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXPMARESET_TIME_LANE1,602,0,4,11,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE1,602,0,12,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE1,603,1,0,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXRESETDONE_TIME_LANE1,603,0,4,14,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_FIBINITDONE_LANE1,604,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_IGNORE_GTZINITDONE_LANE1,604,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE1,604,0,10,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXRESETDONE_TIME_LANE1,605,1,0,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.GTZ_POWER_UP_LANE1,606,0,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXUSRCLK_SEL_LANE1,606,0,1,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXUSRCLK_SEL_LANE1,606,0,4,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_MULTICAST_GROUP_ID_LANE1,608,0,0,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_IGNORE_BROADCAST_LANE1,608,0,8,8,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE2,800,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE2,801,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE2,802,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE2,803,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE2,806,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE2,807,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE2,810,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE2,811,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE2,812,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE2,813,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE2,816,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE2,817,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE2,878,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE2,879,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE2,880,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE2,881,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE2,918,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE2,919,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE4,1000,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXPMARESET_TIME_LANE7,1E03,1,0,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXRESETDONE_TIME_LANE7,1E03,0,4,14,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_1_LANE4,1001,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE4,1002,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_CTRL_2_LANE4,1003,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE4,1006,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.PMA_WIDTH_CTRL_LANE4,1007,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE4,1010,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_GAIN_CTRL_LANE4,1011,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE4,1012,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_GAIN_CTRL_LANE4,1013,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE4,1016,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_REFCLK_SYNC_CTRL_LANE4,1017,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE4,1078,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OUTPUT_EQ_CTRL_LANE4,1079,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE4,1080,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_USER_REG_CTRL_LANE4,1081,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE4,1118,0,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_OVERRIDE_CTRL_LANE4,1119,1,0,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_MODE_SEL_LANE4,1200,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_MODE_SEL_LANE4,1200,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_LOOPBACK_SEL_LANE4,1200,0,4,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXOUTCLK_SEL_LANE4,1200,0,6,7,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXOUTCLK_SEL_LANE4,1200,0,8,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE4,1200,0,11,15,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_BITSLIP_RESET_TIME_LANE4,1201,1,0,0,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_RESET_ON_BITSLIP_LANE4,1201,0,1,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXFIFO_EN_LANE4,1201,0,2,2,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_CLK_GATING_EN_LANE4,1201,0,3,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RXFIFO_EN_LANE4,1201,0,4,4,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_CLK_GATING_EN_LANE4,1201,0,5,5,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.FIB_NEAREND_LPBK_CLK_SEL_LANE4,1201,0,6,6,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TX_SAMPLE_PERIOD_LANE4,1201,0,7,9,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RX_SAMPLE_PERIOD_LANE4,1201,0,10,12,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESET_MODE_LANE4,1202,0,0,1,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.RESETDONE_IGNORE_RDY_LANE4,1202,0,2,3,attr,rw,,,,,,,,,GTZE2_OCTAL
DRP.TXPMARESET_TIME_LANE4,1202,0,4,11,attr,rw,,,,,,,,,GTZE2_OCTAL
