PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
l0_txswing,0,850 mV,SERDES.L0_TX_ANA_TM_16.PIPE_TX_MARGIN=000,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l0_txswing,1,637 mV,SERDES.L0_TX_ANA_TM_16.PIPE_TX_MARGIN=010,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l0_txswing,2,531 mV,SERDES.L0_TX_ANA_TM_16.PIPE_TX_MARGIN=011,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l0_txswing,3,425 mV,SERDES.L0_TX_ANA_TM_16.PIPE_TX_MARGIN=100,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l0_txswing,4,319 mV,SERDES.L0_TX_ANA_TM_16.PIPE_TX_MARGIN=101,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l0_txswing,5,265 mV,SERDES.L0_TX_ANA_TM_16.PIPE_TX_MARGIN=110,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l0_txswing,6,213 mV,SERDES.L0_TX_ANA_TM_16.PIPE_TX_MARGIN=111,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,
l0_txswing,7,User Value,SERDES.L0_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=0,,,,,,,,,,
l1_txswing,0,850 mV,SERDES.L1_TX_ANA_TM_16.PIPE_TX_MARGIN=000,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
l1_txswing,1,637 mV,SERDES.L1_TX_ANA_TM_16.PIPE_TX_MARGIN=010,SERDES.L1_TX_ANA_TM_16.FORCE_PIPE_TX_MARGIN=1,,,,,,,,,
