NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.A_CPLLLOCKEN,0,0,10,10,attr,rw,,y,
DRP.A_CPLLPD,0,0,9,9,attr,rw,,y,
DRP.A_CPLLRESET,0,0,8,8,attr,rw,,y,
DRP.A_EYESCANRESET,1,0,1,1,attr,rw,,y,
DRP.A_GTRESETSEL,7,0,12,12,attr,rw,,y,
DRP.A_GTRXRESET,1,0,3,3,attr,rw,,y,
DRP.A_GTTXRESET,1,0,2,2,attr,rw,,y,
DRP.A_LOOPBACK,2,0,13,15,attr,rw,,y,
DRP.A_RXAFECFOKEN,96,0,3,3,attr,rw,,y,
DRP.A_RXBUFRESET,7,0,15,15,attr,rw,,y,
DRP.A_RXCDRFREQRESET,0,0,15,15,attr,rw,,y,
DRP.A_RXCDRHOLD,0,0,14,14,attr,rw,,y,
DRP.A_RXCDROVRDEN,8,0,4,4,attr,rw,,y,
DRP.A_RXCDRRESET,0,0,13,13,attr,rw,,y,
DRP.A_RXCKCALRESET,10f,0,1,1,attr,rw,,y,
DRP.A_RXDFEAGCHOLD,0,0,7,7,attr,rw,,y,
DRP.A_RXDFEAGCOVRDEN,0,0,6,6,attr,rw,,y,
DRP.A_RXDFECFOKFCNUM,96,0,4,7,attr,rw,,y,
DRP.A_RXDFECFOKFEN,94,0,15,15,attr,rw,,y,
DRP.A_RXDFECFOKFPULSE,94,0,14,14,attr,rw,,y,
DRP.A_RXDFECFOKHOLD,94,0,13,13,attr,rw,,y,
DRP.A_RXDFECFOKOVREN,94,0,12,12,attr,rw,,y,
DRP.A_RXDFEKHHOLD,0,0,12,12,attr,rw,,y,
DRP.A_RXDFEKHOVRDEN,0,0,11,11,attr,rw,,y,
DRP.A_RXDFELFHOLD,1,0,13,13,attr,rw,,y,
DRP.A_RXDFELFOVRDEN,1,0,12,12,attr,rw,,y,
DRP.A_RXDFELPMRESET,1,0,9,9,attr,rw,,y,
DRP.A_RXDFETAP10HOLD,ac,0,11,11,attr,rw,,y,
DRP.A_RXDFETAP10OVRDEN,ac,0,10,10,attr,rw,,y,
DRP.A_RXDFETAP11HOLD,ac,0,9,9,attr,rw,,y,
DRP.A_RXDFETAP11OVRDEN,ac,0,8,8,attr,rw,,y,
DRP.A_RXDFETAP12HOLD,dc,0,7,7,attr,rw,,y,
DRP.A_RXDFETAP12OVRDEN,dc,0,6,6,attr,rw,,y,
DRP.A_RXDFETAP13HOLD,dc,0,5,5,attr,rw,,y,
DRP.A_RXDFETAP13OVRDEN,dc,0,4,4,attr,rw,,y,
DRP.A_RXDFETAP14HOLD,dc,0,3,3,attr,rw,,y,
DRP.A_RXDFETAP14OVRDEN,dc,0,2,2,attr,rw,,y,
DRP.A_RXDFETAP15HOLD,dc,0,1,1,attr,rw,,y,
DRP.A_RXDFETAP15OVRDEN,dc,0,0,0,attr,rw,,y,
DRP.A_RXDFETAP2HOLD,0,0,5,5,attr,rw,,y,
DRP.A_RXDFETAP2OVRDEN,0,0,4,4,attr,rw,,y,
DRP.A_RXDFETAP3HOLD,0,0,3,3,attr,rw,,y,
DRP.A_RXDFETAP3OVRDEN,0,0,2,2,attr,rw,,y,
DRP.A_RXDFETAP4HOLD,0,0,1,1,attr,rw,,y,
DRP.A_RXDFETAP4OVRDEN,0,0,0,0,attr,rw,,y,
DRP.A_RXDFETAP5HOLD,1,0,15,15,attr,rw,,y,
DRP.A_RXDFETAP5OVRDEN,1,0,14,14,attr,rw,,y,
DRP.A_RXDFETAP6HOLD,56,0,15,15,attr,rw,,y,
DRP.A_RXDFETAP6OVRDEN,56,0,14,14,attr,rw,,y,
DRP.A_RXDFETAP7HOLD,56,0,13,13,attr,rw,,y,
DRP.A_RXDFETAP7OVRDEN,56,0,12,12,attr,rw,,y,
DRP.A_RXDFETAP8HOLD,ac,0,15,15,attr,rw,,y,
DRP.A_RXDFETAP8OVRDEN,ac,0,14,14,attr,rw,,y,
DRP.A_RXDFETAP9HOLD,ac,0,13,13,attr,rw,,y,
DRP.A_RXDFETAP9OVRDEN,ac,0,12,12,attr,rw,,y,
DRP.A_RXDFEUTHOLD,1,0,8,8,attr,rw,,y,
DRP.A_RXDFEUTOVRDEN,1,0,7,7,attr,rw,,y,
DRP.A_RXDFEVPHOLD,1,0,6,6,attr,rw,,y,
DRP.A_RXDFEVPOVRDEN,1,0,5,5,attr,rw,,y,
DRP.A_RXDFEXYDEN,1,0,4,4,attr,rw,,y,
DRP.A_RXDLYBYPASS,2,0,7,7,attr,rw,,y,
DRP.A_RXDLYEN,2,0,4,4,attr,rw,,y,
DRP.A_RXDLYOVRDEN,2,0,6,6,attr,rw,,y,
DRP.A_RXDLYSRESET,2,0,1,1,attr,rw,,y,
DRP.A_RXLPMEN,8,0,5,5,attr,rw,,y,
DRP.A_RXLPMGCHOLD,94,0,3,3,attr,rw,,y,
DRP.A_RXLPMGCOVRDEN,94,0,2,2,attr,rw,,y,
DRP.A_RXLPMHFHOLD,2,0,12,12,attr,rw,,y,
DRP.A_RXLPMHFOVRDEN,2,0,11,11,attr,rw,,y,
DRP.A_RXLPMLFHOLD,2,0,10,10,attr,rw,,y,
DRP.A_RXLPMLFKLOVRDEN,2,0,9,9,attr,rw,,y,
DRP.A_RXLPMOSHOLD,94,0,1,1,attr,rw,,y,
DRP.A_RXLPMOSOVRDEN,94,0,0,0,attr,rw,,y,
DRP.A_RXMONITORSEL,8,0,2,3,attr,rw,,y,
DRP.A_RXOOBRESET,7,0,11,11,attr,rw,,y,
DRP.A_RXOSCALRESET,8a,0,11,11,attr,rw,,y,
DRP.A_RXOSHOLD,1,0,11,11,attr,rw,,y,
DRP.A_RXOSOVRDEN,1,0,10,10,attr,rw,,y,
DRP.A_RXOUTCLKSEL,7,0,8,10,attr,rw,,y,
DRP.A_RXPCSRESET,7,0,4,4,attr,rw,,y,
DRP.A_RXPD,8,0,0,1,attr,rw,,y,
DRP.A_RXPHALIGN,7,0,13,13,attr,rw,,y,
DRP.A_RXPHALIGNEN,7,0,14,14,attr,rw,,y,
DRP.A_RXPHDLYPD,2,0,2,2,attr,rw,,y,
DRP.A_RXPHDLYRESET,2,0,5,5,attr,rw,,y,
DRP.A_RXPLLCLKSEL,17,0,0,1,attr,rw,,y,
DRP.A_RXPMARESET,7,0,7,7,attr,rw,,y,
DRP.A_RXPOLARITY,7,0,6,6,attr,rw,,y,
DRP.A_RXPRBSCNTRESET,2,0,8,8,attr,rw,,y,
