NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.UCODEER_CLR,0,0,1,1,attr,rw,,y,GTX2_CHANNEL
DRP.RXDFELPMRESET_TIME,00D,0,15,15,attr,rw,,y,GTX2_CHANNEL
DRP.RXDFELPMRESET_TIME,00E,1,0,5,attr,rw,,y,GTX2_CHANNEL 
DRP.RXCDRPHRESET_TIME,00D,0,10,14,attr,rw,,y,GTX2_CHANNEL
DRP.RXCDRFREQRESET_TIME,00D,0,5,9,attr,rw,,y,GTX2_CHANNEL
DRP.RXBUFRESET_TIME,00D,0,0,4,attr,rw,,y,GTX2_CHANNEL
DRP.RXPCSRESET_TIME,00E,0,11,15,attr,rw,,y,GTX2_CHANNEL
DRP.RXPMARESET_TIME,00E,0,6,10,attr,rw,,y,GTX2_CHANNEL
DRP.RXISCANRESET_TIME,00F,0,10,14,attr,rw,,y,GTX2_CHANNEL
DRP.TXPCSRESET_TIME,00F,0,5,9,attr,rw,,y,GTX2_CHANNEL
DRP.TXPMARESET_TIME,00F,0,0,4,attr,rw,,y,GTX2_CHANNEL
DRP.RX_INT_DATAWIDTH,11,0,14,14,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DATA_WIDTH,11,0,11,13,attr,rw,,y,GTX2_CHANNEL
DRP.RX_CLK25_DIV,11,0,6,10,attr,rw,,y,GTX2_CHANNEL
DRP.RX_CM_SEL,11,0,4,5,attr,rw,,y,GTX2_CHANNEL
DRP.RX_CM_TRIM,11,0,1,3,attr,rw,,y,GTX2_CHANNEL
DRP.RXPRBS_ERR_LOOPBACK,11,0,0,0,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_BURST_SEQ_LEN,12,0,12,15,attr,rw,,y,GTX2_CHANNEL
DRP.OUTREFCLK_SEL_INV,12,0,10,11,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_BURST_VAL,12,0,7,9,attr,rw,,y,GTX2_CHANNEL
DRP.RXOOB_CFG,12,0,0,6,attr,rw,,y,GTX2_CHANNEL
DRP.SAS_MIN_COM,13,0,9,14,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_MIN_BURST,13,0,3,8,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_EIDLE_VAL,13,0,0,2,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_MIN_WAKE,14,0,6,11,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_MIN_INIT,14,0,0,5,attr,rw,,y,GTX2_CHANNEL
DRP.SAS_MAX_COM,15,0,6,12,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_MAX_BURST,15,0,0,5,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_MAX_WAKE,16,0,6,11,attr,rw,,y,GTX2_CHANNEL
DRP.SATA_MAX_INIT,16,0,0,5,attr,rw,,y,GTX2_CHANNEL
DRP.TRANS_TIME_RATE,18,0,0,7,attr,rw,,y,GTX2_CHANNEL
DRP.TX_PREDRIVER_MODE,19,0,12,12,attr,rw,,y,GTX2_CHANNEL
DRP.TX_EIDLE_DEASSERT_DELAY,19,0,9,11,attr,rw,,y,GTX2_CHANNEL
DRP.TX_EIDLE_ASSERT_DELAY,19,0,6,8,attr,rw,,y,GTX2_CHANNEL
DRP.TX_LOOPBACK_DRIVE_HIZ,19,0,5,5,attr,rw,,y,GTX2_CHANNEL
DRP.TX_DRIVE_MODE,19,0,0,4,attr,rw,,y,GTX2_CHANNEL
DRP.PD_TRANS_TIME_TO_P2,01A,0,8,15,attr,rw,,y,GTX2_CHANNEL
DRP.PD_TRANS_TIME_NONE_P2,01A,0,0,7,attr,rw,,y,GTX2_CHANNEL
DRP.PD_TRANS_TIME_FROM_P2,01B,0,1,12,attr,rw,,y,GTX2_CHANNEL
DRP.PCS_PCIE_EN,01B,0,0,0,attr,rw,,y,GTX2_CHANNEL
DRP.TXBUF_RESET_ON_RATE_CHANGE,01C,0,15,15,attr,rw,,y,GTX2_CHANNEL
DRP.TXBUF_EN,01C,0,14,14,attr,rw,,y,GTX2_CHANNEL
DRP.TXGEARBOX_EN,01C,0,5,5,attr,rw,,y,GTX2_CHANNEL
DRP.GEARBOX_MODE,01C,0,0,2,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_GAIN_CFG,01D,0,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_GAIN_CFG,01E,1,0,6,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_LPM_HOLD_DURING_EIDLE,01E,0,14,14,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_H2_CFG,01F,0,0,11,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_H3_CFG,20,0,0,11,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_H4_CFG,21,0,0,10,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_H5_CFG,22,0,0,10,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_KL_CFG,23,0,0,12,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_UT_CFG,24,0,15,15,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_UT_CFG,25,1,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.RX_OS_CFG,24,0,0,12,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_VP_CFG,26,0,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_VP_CFG,27,1,0,0,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_XYD_CFG,28,0,0,12,attr,rw,,y,GTX2_CHANNEL
DRP.RX_DFE_LPM_CFG,29,0,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.RXLPM_HF_CFG,02A,0,0,13,attr,rw,,y,GTX2_CHANNEL
DRP.RXLPM_LF_CFG,02B,0,0,13,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUALIFIER,02C,0,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUALIFIER,02D,1,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUALIFIER,02E,2,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUALIFIER,02F,3,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUALIFIER,30,4,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUAL_MASK,31,0,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUAL_MASK,32,1,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUAL_MASK,33,2,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUAL_MASK,34,3,0,15,attr,rw,,y,GTX2_CHANNEL
DRP.ES_QUAL_MASK,35,4,0,15,attr,rw,,y,GTX2_CHANNEL
