PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
rxtermmode,0,AVTT,DRP.RX_CM_SEL=00,,,,,,,,,,
rxtermmode,1,GND,DRP.RX_CM_SEL=01,,,,,,,,,,
rxtermmode,2,Floating,DRP.RX_CM_SEL=10,,,,,,,,,,
rxtermmode,3,Programmable,DRP.RX_CM_SEL=11,,,,,,,,,,
rxterm,0,100 mV,DRP.RX_CM_TRIM=000,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,1,200 mV,DRP.RX_CM_TRIM=001,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,2,250 mV,DRP.RX_CM_TRIM=010,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,3,300 mV,DRP.RX_CM_TRIM=011,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,4,400 mV,DRP.RX_CM_TRIM=101,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,5,450 mV,DRP.RX_CM_TRIM=100,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,6,500 mV,DRP.RX_CM_TRIM=110,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,7,550 mV,DRP.RX_CM_TRIM=111,DRP.PMA_RSV2_BIT4=0,,,,,,,,,
rxterm,8,600 mV,DRP.RX_CM_TRIM=000,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
rxterm,9,700 mV,DRP.RX_CM_TRIM=001,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
rxterm,10,800 mV,DRP.RX_CM_TRIM=010,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
rxterm,11,850 mV,DRP.RX_CM_TRIM=011,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
rxterm,12,900 mV,DRP.RX_CM_TRIM=100,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
rxterm,13,950 mV,DRP.RX_CM_TRIM=101,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
rxterm,14,1000 mV,DRP.RX_CM_TRIM=110,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
rxterm,15,1100 mV,DRP.RX_CM_TRIM=111,DRP.PMA_RSV2_BIT4=1,,,,,,,,,
tx_data_width,0,16,DRP.TX_DATA_WIDTH=010,,,,,,,,,,
tx_data_width,1,20,DRP.TX_DATA_WIDTH=011,,,,,,,,,,
tx_data_width,2,32,DRP.TX_DATA_WIDTH=100,,,,,,,,,,
tx_data_width,3,40,DRP.TX_DATA_WIDTH=101,,,,,,,,,,
tx_data_width,4,64,DRP.TX_DATA_WIDTH=110,,,,,,,,,,
tx_data_width,5,80,DRP.TX_DATA_WIDTH=111,,,,,,,,,,
rx_data_width,0,16,DRP.RX_DATA_WIDTH=010,,,,,,,,,,
rx_data_width,1,20,DRP.RX_DATA_WIDTH=011,,,,,,,,,,
rx_data_width,2,32,DRP.RX_DATA_WIDTH=100,,,,,,,,,,
rx_data_width,3,40,DRP.RX_DATA_WIDTH=101,,,,,,,,,,
rx_data_width,4,64,DRP.RX_DATA_WIDTH=110,,,,,,,,,,
rx_data_width,5,80,DRP.RX_DATA_WIDTH=111,,,,,,,,,,
tx_internal_datapath,0,2-byte,DRP.TX_INT_DATAWIDTH=0,,,,,,,,,,
tx_internal_datapath,1,4-byte,DRP.TX_INT_DATAWIDTH=1,,,,,,,,,,
rx_internal_datapath,0,2-byte,DRP.RX_INT_DATAWIDTH=0,,,,,,,,,,
rx_internal_datapath,1,4-byte,DRP.RX_INT_DATAWIDTH=1,,,,,,,,,,
cpll_fbdiv,0,1,DRP.CPLL_FBDIV=0010000,,,,,,,,,,
cpll_fbdiv,1,2,DRP.CPLL_FBDIV=0000000,,,,,,,,,,
cpll_fbdiv,2,3,DRP.CPLL_FBDIV=0000001,,,,,,,,,,
cpll_fbdiv,3,4,DRP.CPLL_FBDIV=0000010,,,,,,,,,,
cpll_fbdiv,4,5,DRP.CPLL_FBDIV=0000011,,,,,,,,,,
cpll_fbdiv,5,6,DRP.CPLL_FBDIV=0000101,,,,,,,,,,
cpll_fbdiv,6,8,DRP.CPLL_FBDIV=0000110,,,,,,,,,,
cpll_fbdiv,7,10,DRP.CPLL_FBDIV=0000111,,,,,,,,,,
cpll_fbdiv,8,12,DRP.CPLL_FBDIV=0001101,,,,,,,,,,
cpll_fbdiv,9,16,DRP.CPLL_FBDIV=0001110,,,,,,,,,,
cpll_fbdiv,10,20,DRP.CPLL_FBDIV=0001111,,,,,,,,,,
cpll_fbdiv_45,0,4,DRP.CPLL_FBDIV_45=0,,,,,,,,,,
cpll_fbdiv_45,1,5,DRP.CPLL_FBDIV_45=1,,,,,,,,,,
cpll_refclk_div,0,1,DRP.CPLL_REFCLK_DIV=10000,,,,,,,,,,
cpll_refclk_div,1,2,DRP.CPLL_REFCLK_DIV=00000,,,,,,,,,,
cpll_refclk_div,2,3,DRP.CPLL_REFCLK_DIV=00001,,,,,,,,,,
cpll_refclk_div,3,4,DRP.CPLL_REFCLK_DIV=00010,,,,,,,,,,
cpll_refclk_div,4,5,DRP.CPLL_REFCLK_DIV=00011,,,,,,,,,,
cpll_refclk_div,5,6,DRP.CPLL_REFCLK_DIV=00101,,,,,,,,,,
cpll_refclk_div,6,8,DRP.CPLL_REFCLK_DIV=00110,,,,,,,,,,
cpll_refclk_div,7,10,DRP.CPLL_REFCLK_DIV=00111,,,,,,,,,,
cpll_refclk_div,8,12,DRP.CPLL_REFCLK_DIV=01101,,,,,,,,,,
cpll_refclk_div,9,16,DRP.CPLL_REFCLK_DIV=01110,,,,,,,,,,
cpll_refclk_div,10,20,DRP.CPLL_REFCLK_DIV=01111,,,,,,,,,,
rxout_div,0,1,DRP.RXOUT_DIV=000,,,,,,,,,,
rxout_div,1,2,DRP.RXOUT_DIV=001,,,,,,,,,,
rxout_div,2,4,DRP.RXOUT_DIV=010,,,,,,,,,,
rxout_div,3,8,DRP.RXOUT_DIV=011,,,,,,,,,,
rxout_div,4,16,DRP.RXOUT_DIV=100,,,,,,,,,,
txout_div,0,1,DRP.TXOUT_DIV=000,,,,,,,,,,
txout_div,1,2,DRP.TXOUT_DIV=001,,,,,,,,,,
txout_div,2,4,DRP.TXOUT_DIV=010,,,,,,,,,,
txout_div,3,8,DRP.TXOUT_DIV=011,,,,,,,,,,
txout_div,4,16,DRP.TXOUT_DIV=100,,,,,,,,,,
rx_dfe_ctle,0,2.0 dB (0:0:0),DRP.RX_DFE_CTLE_STAGE1=0000,DRP.RX_DFE_CTLE_STAGE2=0000,DRP.RX_DFE_CTLE_STAGE3=0000,,,,,,,,
rx_dfe_ctle,1,2.0 dB (0:0:1),DRP.RX_DFE_CTLE_STAGE1=0000,DRP.RX_DFE_CTLE_STAGE2=0000,DRP.RX_DFE_CTLE_STAGE3=0001,,,,,,,,
