NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.A_RXCDRFREQRESET,0,0,15,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXCDRHOLD,0,0,14,14,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXCDRRESET,0,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_CPLLLOCKEN,0,0,10,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_CPLLPD,0,0,9,9,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_CPLLRESET,0,0,8,8,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEAGCHOLD,0,0,7,7,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEAGCOVRDEN,0,0,6,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP2HOLD,0,0,5,5,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP2OVRDEN,0,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP3HOLD,0,0,3,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP3OVRDEN,0,0,2,2,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP4HOLD,0,0,1,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP4OVRDEN,0,0,0,0,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP5HOLD,1,0,15,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFETAP5OVRDEN,1,0,14,14,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFELFHOLD,1,0,13,13,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFELFOVRDEN,1,0,12,12,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXOSHOLD,1,0,11,11,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXOSOVRDEN,1,0,10,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFELPMRESET,1,0,9,9,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEUTHOLD,1,0,8,8,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEUTOVRDEN,1,0,7,7,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEVPHOLD,1,0,6,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEVPOVRDEN,1,0,5,5,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDFEXYDEN,1,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_GTRXRESET,1,0,3,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_GTTXRESET,1,0,2,2,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_EYESCANRESET,1,0,1,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_EYESCANMODE,1,0,0,0,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_LOOPBACK,2,0,13,15,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXLPMHFHOLD,2,0,12,12,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXLPMHFOVRDEN,2,0,11,11,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXLPMLFHOLD,2,0,10,10,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXLPMLFKLOVRDEN,2,0,9,9,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPRBSCNTRESET,2,0,8,8,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDLYBYPASS,2,0,7,7,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDLYOVRDEN,2,0,6,6,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPHDLYRESET,2,0,5,5,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDLYEN,2,0,4,4,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPHOVRDEN,2,0,3,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPHDLYPD,2,0,2,2,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXDLYSRESET,2,0,1,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
