STAGE_NAME,GUI_DISPLAY_NAME,READ_SIMPLE,READ_COMPLEX,WRITE_SIMPLE,WRITE_COMPLEX,WRITE_DM
01_db_rank0_mrep,1- Data Buffer Rank 0 MREP,0,0,0,0,0
02_db_rank0_mrd_cycle,2- Data Buffer Rank 0 MRD Cycle,0,0,0,0,0
03_db_rank0_mrd_center,3- Data Buffer Rank 0 MRD Center,0,0,0,0,0
04_db_rank0_dwl,4- Data Buffer Rank 0 DWL,0,0,0,0,0
05_db_rank0_mwd_cycle,5- Data Buffer Rank 0 MWD Cycle,0,0,0,0,0
06_db_rank0_mwd_center,6- Data Buffer Rank 0 MWD Center,0,0,0,0,0
07_db_rank1_mrep,7- Data Buffer Rank 1 MREP,0,0,0,0,0
08_db_rank1_mrd_cycle,8- Data Buffer Rank 1 MRD Cycle,0,0,0,0,0
09_db_rank1_mrd_center,9- Data Buffer Rank 1 MRD Center,0,0,0,0,0
10_db_rank1_dwl,10- Data Buffer Rank 1 DWL,0,0,0,0,0
11_db_rank1_mwd_cycle,11- Data Buffer Rank 1 MWD Cycle,0,0,0,0,0
12_db_rank1_mwd_center,12- Data Buffer Rank 1 MWD Center,0,0,0,0,0
13_dqs_gate,13 - DQS Gate,0,0,0,0,0
14_dqs_gate_sanity_check,14 - DQS Gate Sanity Check,0,0,0,0,0
15_write_leveling,15 - Write Leveling,0,0,0,0,0
16_read_per_bit_deskew,16 - Read Per-Bit Deskew,0,0,0,0,0
17_read_per_bit_deskew_dbi,17 - Read Per-Bit DBI Deskew,0,0,0,0,0
18_read_dqs_centering,18 - Read DQS Centering (Simple),1,0,0,0,0
19_read_sanity_check,19 - Read Sanity Check,0,0,0,0,0
20_write_dqs_to_dq_deskew,20 - Write DQS to DQ Deskew,0,0,0,0,0
21_write_dqs_to_dm_dbi_deskew,21 - Write DQS to DM/DBI Deskew,0,0,0,0,0
22_write_dqs_to_dq(simple),22 - Write DQS to DQ (Simple),0,0,1,0,0
23_write_dqs_to_dm_dbi(simple),23 - Write DQS to DM/DBI (Simple),0,0,0,0,0
24_read_dqs_centering_dbi,24 - Read DQS Centering DBI (Simple),0,0,0,0,0
25_write_latency_calibration,25 - Write Latency Calibration,0,0,0,0,0
26_write_read_sanity_check,26 - Write Read Sanity Check 0,0,0,0,0,0
27_read_leveling(complex),27 - Read DQS Centering (Complex),0,1,0,0,0
28_write_read_sanity_check,28 - Write Read Sanity Check 1,0,0,0,0,0
29_read_vref_training,29 - Read VREF Training,0,0,0,0,0
30_write_read_sanity_check,30 - Write Read Sanity Check 2,0,0,0,0,0
31_write_dqs_to_dq(complex),31 - Write DQS to DQ (Complex),0,0,0,1,0
32_write_dqs_to_dm_dbi(complex),32 - Write DQS to DM/DBI (Complex),0,0,0,0,0
33_write_read_sanity_check,33 - Write Read Sanity Check 3,0,0,0,0,0
34_write_vref_training,34 - Write VREF Training,0,0,0,0,0
35_write_read_sanity_check,35 - Write Read Sanity Check 4,0,0,0,0,0
36_read_dqs_centering_multi_rank_adjustment,36 - Read DQS Centering Multi Rank Adjustment,0,0,0,0,0
37_write_read_sanity_check,37 - Write Read Sanity Check 5,0,0,0,0,0
38_multi_rank_adjust_check,38 - Multi Rank Adjustment and Checks,0,0,0,0,0
39_write_read_sanity_check,39 - Write Read Sanity Check 6,0,0,0,0,0
