STAGE_NAME,GUI_DISPLAY_NAME,READ_SIMPLE,READ_COMPLEX,WRITE_SIMPLE,WRITE_COMPLEX,WRITE_DM,ADDRESS_SIMPLE,ADDRESS_COMPLEX
01_address_calibration,1 - Address Calibration,0,0,0,0,0,0,0
02_ck_to_dk_alignment,2 - CK to DK Alignment ,0,0,0,0,0,0,0
03_read_per_bit_deskew,3 - Read Per-Bit Deskew,0,0,0,0,0,0,0
04_read_centering,4 - Read Centering,1,0,0,0,0,0,0
05_read_calibration_santiy_check,5 - Read Calibration Santiy check,0,0,0,0,0,0,0
06_write_dq_to_dk_deskew,6 - Write DQ to DK deskew,0,0,0,0,0,0,0
07_write_dq_to_dk_centering,7 - Write DQ to DK centering,0,0,0,0,0,0,0
08_write_calibration_sanity_check,8 - Write Calibration Sanity Check,0,0,0,0,0,0,0
09_write_dq_bit_slip_correction,9 - Write DQ bit slip correction,0,0,0,0,0,0,0
10_read_dq_bit_slip_correction,10 - Read DQ bit slip correction,0,0,0,0,0,0,0
11_read_valid_calculation,11 - Read Valid Calculation,0,0,0,0,0,0,0
12_calibration_sanity_check,12 - Calibration Sanity Check,0,0,0,0,0,0,0
