STAGE_NAME,STAGE,CODE,CAL_ERROR_1,CAL_ERROR_0,ERROR
DB Rank 0 MREP,1,1,nibble,na,Edge 1 to 0 transition is not found for Rank 0
DB Rank 0 MRD Cycle,2,1,nibble,na,Pattern didn't match for any of the Read latencies of Rank 0
DB Rank 0 MRD Center,3,1,nibble,na,Found very short read valid window for Rank 0
DB Rank 0 DWL,4,1,nibble,na,Edge 0 to 1 transition is not found for Rank 0
DB Rank 0 MWD Cycle,5,1,nibble,na,Pattern didn't match for any of the Write latencies of Rank 0
DB Rank 0 MWD Center,6,1,nibble,na,Found very short write valid window for Rank 0
DB Rank 1 MREP,7,1,nibble,na,Edge 1 to 0 transition is not found for Rank 1
DB Rank 1 MRD Cycle,8,1,nibble,na,Pattern didn't match for any of the Read latencies of Rank 1
DB Rank 1 MRD Center,9,1,nibble,na,Found very short read valid window for Rank 1
DB Rank 1 DWL,10,1,nibble,na,Edge 0 to 1 transition is not found for Rank 1
DB Rank 1 MWD Cycle,11,1,nibble,na,Pattern didn't match for any of the Write latencies of Rank 1
DB Rank 1 MWD Center,12,1,nibble,na,Found very short write valid window for Rank 1
DB Rank 2 MREP,12,1,nibble,na,Edge 1 to 0 transition is not found for Rank 2
DB Rank 2 MRD Cycle,14,1,nibble,na,Pattern didn't match for any of the Read latencies of Rank 2
DB Rank 2 MRD Center,15,1,nibble,na,Found very short read valid window for Rank 2
DB Rank 2 DWL,16,1,nibble,na,Edge 0 to 1 transition is not found for Rank 2
DB Rank 2 MWD Cycle,17,1,nibble,na,Pattern didn't match for any of the Write latencies of Rank 2
DB Rank 2 MWD Center,18,1,nibble,na,Found very short write valid window for Rank 2
DB Rank 3 MREP,19,1,nibble,na,Edge 1 to 0 transition is not found for Rank 3
DB Rank 3 MRD Cycle,20,1,nibble,na,Pattern didn't match for any of the Read latencies of Rank 3
DB Rank 3 MRD Center,21,1,nibble,na,Found very short read valid window for Rank 3
DB Rank 3 DWL,22,1,nibble,na,Edge 0 to 1 transition is not found for Rank 3
DB Rank 3 MWD Cycle,23,1,nibble,na,Pattern didn't match for any of the Write latencies of Rank 3
DB Rank 3 MWD Center,24,1,nibble,na,Found very short write valid window for Rank 3
dqs_gate,25,1,byte,nibble,Calibration uses the calculated latency from the MR register as a starting point and then backs off and begins sampling. If the sample occurs too late in the DQS burst and there are no taps left to decrement for the latency then an error has occurred.
dqs_gate,25,2,byte,nibble,Expected pattern was not found on GT_STATUS.
dqs_gate,25,3,byte,nibble,CAS latency is too low. Calibration starts at a CAS latency (CL) minus 3; Refer to PG150 for allowable CAS latencies.
dqs_gate,25,4,byte,nibble,"Pattern not found on GT_STATUS, all samples were 0. Expecting to sample the preamble."
dqs_gate,25,5,byte,nibble,"Pattern not found on GT_STATUS, all samples were 1. Expecting to sample the preamble."
dqs_gate,25,6,byte,nibble,Could not find the 0->1 transition with fine taps in at least 1 tck (estimated) of fine taps.
dqs_gate,25,7,byte,nibble,Underflow of coarse taps when trying to limit maximum coarse tap setting.
dqs_gate,25,8,byte,nibble,Violation of maximum read latency limit.
dqs_gate,25,9,byte,nibble,Data check failed with DQS gate settings and read latency range has been exhausted.
dqs_gate_sanity_check,26,15,na,na,Phy fails to return same number of data bursts as expected
write_leveling,27,1,byte,na,Could not find stable 0.
write_leveling,27,2,byte,na,Could not find stable 1.
write_leveling,27,3,byte,na,Cant find the left edge of noise region with fine taps.
write_leveling,27,4,byte,na,Could not find the 0->1 transition with fine taps in at least 1 tck (estimated) of ODELAY taps.
read_per_bit_deskew,28,1,nibble,bit,No valid data found for a given bit in the nibble when running the de-skew pattern.
read_per_bit_deskew,28,15,nibble,bit,Timeout error waiting for all read data bursts to return
read_per_bit_deskew_dbi,29,1,nibble,bit,No valid data found for a given DBI bit in the nibble when running the de-skew pattern.
read_per_bit_deskew_dbi,29,15,nibble,bit,Timeout error waiting for all read data bursts to return
