STAGE_NAME,STAGE,CODE,CAL_ERROR_1,CAL_ERROR_0,ERROR
Read Clock Alignment,1,1,byte,nibble,Did not find coarse edge setting
Read Clock Alignment,1,2,byte,nibble,Did not find left edge fine setting
Read Clock Alignment,1,3,byte,nibble,Did not find right edge fine setting
Read DQ Training (Simple),2,1,byte,nibble,DQS deskew error. PQTR/ NQTR tap count reached max limit
Read DQ Training (Simple),2,2,nibble,bit,DQ deskew error. IDELAY tap count reached max limit
Read DQ Training (Simple),2,3,nibble,bit,Nibble deskew error. IDELAY tap count reached max limit
Read DQ Training (Simple),2,4,nibble,na,Edge not found. PQTR tap count reached max limit
Read DQ Training (Simple),2,5,nibble,na,Edge not found. NQTR tap count reached max limit
Read DQ Training (Simple),2,6,nibble,na,NQTR window size smaller than 10 taps
Read DQ Training (Simple),2,7,nibble,na,PQTR window size smaller than 10 taps
Read DQ Training (Simple),2,8,nibble,na,NQTR right edge tap count less than left edge tap count
Read DQ Training (Simple),2,9,nibble,na,PQTR right edge tap count less than left edge tap count
Write Training,4,1,dk_cnt,na,DK Odelay tap count reached max limit
Write Training,4,2,byte,bit,DQ Deskew Odelay tap count reached max limit
Write Training,4,3,dm_cnt,na,DM Odelay tap count reached max limit
Bit Slip Training,5,1,byte,na,No data match found for bit time 0 for given byte
Bit Slip Training,5,2,byte,bit,Data mismatch found for bit time given by bit number
Byte Align Training,6,1,byte,na,No data match found for bit time 0 for given byte
Byte Align Training,6,2,na,na,Delay between bytes greater than one UI cycle
Write Read Sanity Check,8,1,byte,na,QVLD not detected on byte
Write Read Sanity Check,8,2,byte,na,Data mismatch  on byte
