NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,CTL,STAT,CONST,SAMP_EN,RH,CPLX_LOCAL,GROUP
DRP.QPLL_INIT_CFG,30,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_INIT_CFG,31,1,0,7,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_IPS_REFCLK_SEL,31,0,8,10,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_LPF,31,0,11,14,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_IPS_EN,31,0,15,15,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_CFG,32,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_CFG,33,1,0,10,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_REFCLK_DIV,33,0,11,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_LOCK_CFG,34,0,0,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_CP,35,0,0,9,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_COARSE_FREQ_OVRD,35,0,10,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_FBDIV,36,0,0,9,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_VCTRL_MONITOR_EN,36,0,10,10,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_COARSE_FREQ_OVRD_EN,36,0,11,11,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_VREG_MONITOR_EN,36,0,12,12,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_CP_MONITOR_EN,36,0,13,13,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_FBDIV_MONITOR_EN,36,0,14,14,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_DMONITOR_SEL,36,0,15,15,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_AMONITOR_SEL,37,0,0,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_CLKOUT_CFG,37,0,2,5,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
DRP.QPLL_FBDIV_RATIO,37,0,6,6,attr,rw,,y,0,0,0,0,0,0,GTHE2_COMMON
