NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,CTL,STAT,CONST,SAMP_EN,RH,CPLX_LOCAL,GROUP
DRP.GT_INSTANTIATED,0,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.UCODEER_CLR,0,0,1,1,attr,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.GEN_RXUSRCLK,0,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.GEN_TXUSRCLK,0,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.ACJTAG_MODE,0,0,13,13,attr,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.ACJTAG_DEBUG_MODE,0,0,14,14,attr,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.ACJTAG_RESET,0,0,15,15,attr,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXCDRFREQRESET,2,0,1,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXCDRHOLD,2,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXCDRRESET,2,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXCDRRESETRSV,2,0,4,4,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_CFGRESET,2,0,5,5,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXOSHOLD,2,0,6,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXOSOVRDEN,2,0,7,7,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXLPMRESET,2,0,8,8,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_GTRXRESET,2,0,9,9,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_GTTXRESET,2,0,10,10,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_EYESCANRESET,2,0,11,11,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_EYESCANMODE,2,0,12,12,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_LOOPBACK,2,0,13,15,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXLPMHFHOLD,3,0,0,0,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXLPMHFOVRDEN,3,0,1,1,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXLPMLFHOLD,3,0,2,2,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXLPMLFOVRDEN,3,0,3,3,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXPRBSCNTRESET,3,0,4,4,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXDLYBYPASS,3,0,5,5,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXDLYOVRDEN,3,0,6,6,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXPHDLYRESET,3,0,7,7,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXDLYEN,3,0,8,8,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXDLYSRESET,3,0,9,9,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXPHDLYPD,3,0,10,10,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXPHOVRDEN,3,0,11,11,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXDFEXYDEN,3,0,13,13,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_SPARE,3,0,14,14,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
DRP.A_RXBUFRESET,3,0,15,15,attr_hidden,rw,,y,0,0,0,0,0,0,GTPE2_CHANNEL
