PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
loopback,0,None,PORT.LOOPBACK=000,,,,,,,,,,
loopback,1,Near-End PCS,PORT.LOOPBACK=001,,,,,,,,,,
loopback,2,Near-End PMA,PORT.LOOPBACK=010,,,,,,,,,,
loopback,3,Far-End PMA,PORT.LOOPBACK=100,,,,,,,,,,
loopback,4,Far-End PCS,PORT.LOOPBACK=110,,,,,,,,,,
txdiffswing,0,253 mV (0000),PORT.TXDIFFCTRL=0000,,,,,,,,,,
txdiffswing,1,316 mV (0001),PORT.TXDIFFCTRL=0001,,,,,,,,,,
txdiffswing,2,377 mV (0010),PORT.TXDIFFCTRL=0010,,,,,,,,,,
txdiffswing,3,439 mV (0011),PORT.TXDIFFCTRL=0011,,,,,,,,,,
txdiffswing,4,499 mV (0100),PORT.TXDIFFCTRL=0100,,,,,,,,,,
txdiffswing,5,561 mV (0101),PORT.TXDIFFCTRL=0101,,,,,,,,,,
txdiffswing,6,621 mV (0110),PORT.TXDIFFCTRL=0110,,,,,,,,,,
txdiffswing,7,682 mV (0111),PORT.TXDIFFCTRL=0111,,,,,,,,,,
txdiffswing,8,743 mV (1000),PORT.TXDIFFCTRL=1000,,,,,,,,,,
txdiffswing,9,799 mV (1001),PORT.TXDIFFCTRL=1001,,,,,,,,,,
txdiffswing,10,857 mV (1010),PORT.TXDIFFCTRL=1010,,,,,,,,,,
txdiffswing,11,909 mV (1011),PORT.TXDIFFCTRL=1011,,,,,,,,,,
txdiffswing,12,959 mV (1100),PORT.TXDIFFCTRL=1100,,,,,,,,,,
txdiffswing,13,1002 mV (1101),PORT.TXDIFFCTRL=1101,,,,,,,,,,
txdiffswing,14,1043 mV (1110),PORT.TXDIFFCTRL=1110,,,,,,,,,,
txdiffswing,15,1074 mV (1111),PORT.TXDIFFCTRL=1111,,,,,,,,,,
txpre,0,0.00 dB (00000),PORT.TXPRECURSOR=00000,,,,,,,,,,
txpre,1,0.22 dB (00001),PORT.TXPRECURSOR=00001,,,,,,,,,,
txpre,2,0.45 dB (00010),PORT.TXPRECURSOR=00010,,,,,,,,,,
txpre,3,0.68 dB (00011),PORT.TXPRECURSOR=00011,,,,,,,,,,
txpre,4,0.92 dB (00100),PORT.TXPRECURSOR=00100,,,,,,,,,,
txpre,5,1.16 dB (00101),PORT.TXPRECURSOR=00101,,,,,,,,,,
txpre,6,1.41 dB (00110),PORT.TXPRECURSOR=00110,,,,,,,,,,
txpre,7,1.67 dB (00111),PORT.TXPRECURSOR=00111,,,,,,,,,,
txpre,8,1.94 dB (01000),PORT.TXPRECURSOR=01000,,,,,,,,,,
txpre,9,2.21 dB (01001),PORT.TXPRECURSOR=01001,,,,,,,,,,
txpre,10,2.50 dB (01010),PORT.TXPRECURSOR=01010,,,,,,,,,,
txpre,11,2.79 dB (01011),PORT.TXPRECURSOR=01011,,,,,,,,,,
txpre,12,3.10 dB (01100),PORT.TXPRECURSOR=01100,,,,,,,,,,
txpre,13,3.41 dB (01101),PORT.TXPRECURSOR=01101,,,,,,,,,,
txpre,14,3.74 dB (01110),PORT.TXPRECURSOR=01110,,,,,,,,,,
txpre,15,4.08 dB (01111),PORT.TXPRECURSOR=01111,,,,,,,,,,
txpre,16,4.44 dB (10000),PORT.TXPRECURSOR=10000,,,,,,,,,,
txpre,17,4.81 dB (10001),PORT.TXPRECURSOR=10001,,,,,,,,,,
txpre,18,5.19 dB (10010),PORT.TXPRECURSOR=10010,,,,,,,,,,
