PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
loopback0,0,None,DRP.FIB_LOOPBACK_SEL_LANE0=00,PORT.NEARLOOPBACKEN0=0,PORT.FARLOOPBACKEN0=0,,,,,,,,
loopback1,0,None,DRP.FIB_LOOPBACK_SEL_LANE1=00,PORT.NEARLOOPBACKEN1=0,PORT.FARLOOPBACKEN1=0,,,,,,,,
loopback2,0,None,DRP.FIB_LOOPBACK_SEL_LANE2=00,PORT.NEARLOOPBACKEN2=0,PORT.FARLOOPBACKEN2=0,,,,,,,,
loopback3,0,None,DRP.FIB_LOOPBACK_SEL_LANE3=00,PORT.NEARLOOPBACKEN3=0,PORT.FARLOOPBACKEN3=0,,,,,,,,
loopback4,0,None,DRP.FIB_LOOPBACK_SEL_LANE4=00,PORT.NEARLOOPBACKEN4=0,PORT.FARLOOPBACKEN4=0,,,,,,,,
loopback5,0,None,DRP.FIB_LOOPBACK_SEL_LANE5=00,PORT.NEARLOOPBACKEN5=0,PORT.FARLOOPBACKEN5=0,,,,,,,,
loopback6,0,None,DRP.FIB_LOOPBACK_SEL_LANE6=00,PORT.NEARLOOPBACKEN6=0,PORT.FARLOOPBACKEN6=0,,,,,,,,
loopback7,0,None,DRP.FIB_LOOPBACK_SEL_LANE7=00,PORT.NEARLOOPBACKEN7=0,PORT.FARLOOPBACKEN7=0,,,,,,,,
txdatawidth0,0,20,PORT.TXDATAWIDTH0=00,,,,,,,,,,
txdatawidth0,1,40,PORT.TXDATAWIDTH0=01,,,,,,,,,,
txdatawidth0,2,80,PORT.TXDATAWIDTH0=10,,,,,,,,,,
txdatawidth0,3,160,PORT.TXDATAWIDTH0=11,,,,,,,,,,
rxdatawidth0,0,20,PORT.RXDATAWIDTH0=00,,,,,,,,,,
rxdatawidth0,1,40,PORT.RXDATAWIDTH0=01,,,,,,,,,,
rxdatawidth0,2,80,PORT.RXDATAWIDTH0=10,,,,,,,,,,
rxdatawidth0,3,160,PORT.RXDATAWIDTH0=11,,,,,,,,,,
txdatawidth1,0,20,PORT.TXDATAWIDTH1=00,,,,,,,,,,
txdatawidth1,1,40,PORT.TXDATAWIDTH1=01,,,,,,,,,,
txdatawidth1,2,80,PORT.TXDATAWIDTH1=10,,,,,,,,,,
txdatawidth1,3,160,PORT.TXDATAWIDTH1=11,,,,,,,,,,
rxdatawidth1,0,20,PORT.RXDATAWIDTH1=00,,,,,,,,,,
rxdatawidth1,1,40,PORT.RXDATAWIDTH1=01,,,,,,,,,,
rxdatawidth1,2,80,PORT.RXDATAWIDTH1=10,,,,,,,,,,
rxdatawidth1,3,160,PORT.RXDATAWIDTH1=11,,,,,,,,,,
txdatawidth2,0,20,PORT.TXDATAWIDTH2=00,,,,,,,,,,
txdatawidth2,1,40,PORT.TXDATAWIDTH2=01,,,,,,,,,,
txdatawidth2,2,80,PORT.TXDATAWIDTH2=10,,,,,,,,,,
txdatawidth2,3,160,PORT.TXDATAWIDTH2=11,,,,,,,,,,
rxdatawidth2,0,20,PORT.RXDATAWIDTH2=00,,,,,,,,,,
rxdatawidth2,1,40,PORT.RXDATAWIDTH2=01,,,,,,,,,,
rxdatawidth2,2,80,PORT.RXDATAWIDTH2=10,,,,,,,,,,
rxdatawidth2,3,160,PORT.RXDATAWIDTH2=11,,,,,,,,,,
txdatawidth3,0,20,PORT.TXDATAWIDTH3=00,,,,,,,,,,
txdatawidth3,1,40,PORT.TXDATAWIDTH3=01,,,,,,,,,,
txdatawidth3,2,80,PORT.TXDATAWIDTH3=10,,,,,,,,,,
