NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP,DESCRIPTION
DRP.A_RXCDRFREQRESET,0,0,15,15,attr_hidden,rw,,,,
DRP.A_RXCDRHOLD,0,0,14,14,attr_hidden,rw,,,,
DRP.A_RXCDRRESET,0,0,13,13,attr_hidden,rw,,,,
DRP.A_CPLLLOCKEN,0,0,10,10,attr_hidden,rw,,,,
DRP.A_CPLLPD,0,0,9,9,attr_hidden,rw,,,,
DRP.A_CPLLRESET,0,0,8,8,attr_hidden,rw,,,,
DRP.A_RXDFEAGCHOLD,0,0,7,7,attr_hidden,rw,,,,
DRP.A_RXDFEAGCOVRDEN,0,0,6,6,attr_hidden,rw,,,,
DRP.A_RXDFETAP2HOLD,0,0,5,5,attr_hidden,rw,,,,
DRP.A_RXDFETAP2OVRDEN,0,0,4,4,attr_hidden,rw,,,,
DRP.A_RXDFETAP3HOLD,0,0,3,3,attr_hidden,rw,,,,
DRP.A_RXDFETAP3OVRDEN,0,0,2,2,attr_hidden,rw,,,,
DRP.A_RXDFETAP4HOLD,0,0,1,1,attr_hidden,rw,,,,
DRP.A_RXDFETAP4OVRDEN,0,0,0,0,attr_hidden,rw,,,,
DRP.A_RXDFETAP5HOLD,1,0,15,15,attr_hidden,rw,,,,
DRP.A_RXDFETAP5OVRDEN,1,0,14,14,attr_hidden,rw,,,,
DRP.A_RXDFELFHOLD,1,0,13,13,attr_hidden,rw,,,,
DRP.A_RXDFELFOVRDEN,1,0,12,12,attr_hidden,rw,,,,
DRP.A_RXOSHOLD,1,0,11,11,attr_hidden,rw,,,,
DRP.A_RXOSOVRDEN,1,0,10,10,attr_hidden,rw,,,,
DRP.A_RXDFELPMRESET,1,0,9,9,attr_hidden,rw,,,,
DRP.A_RXDFEUTHOLD,1,0,8,8,attr_hidden,rw,,,,
DRP.A_RXDFEUTOVRDEN,1,0,7,7,attr_hidden,rw,,,,
DRP.A_RXDFEVPHOLD,1,0,6,6,attr_hidden,rw,,,,
DRP.A_RXDFEVPOVRDEN,1,0,5,5,attr_hidden,rw,,,,
DRP.A_RXDFEXYDEN,1,0,4,4,attr_hidden,rw,,,,
DRP.A_GTRXRESET,1,0,3,3,attr_hidden,rw,,,,
DRP.A_GTTXRESET,1,0,2,2,attr_hidden,rw,,,,
DRP.A_EYESCANRESET,1,0,1,1,attr_hidden,rw,,,,
DRP.A_EYESCANMODE,1,0,0,0,attr_hidden,rw,,,,
DRP.A_LOOPBACK,2,0,13,15,attr_hidden,rw,,,,
DRP.A_RXLPMHFHOLD,2,0,12,12,attr_hidden,rw,,,,
DRP.A_RXLPMHFOVRDEN,2,0,11,11,attr_hidden,rw,,,,
DRP.A_RXLPMLFHOLD,2,0,10,10,attr_hidden,rw,,,,
DRP.A_RXLPMLFKLOVRDEN,2,0,9,9,attr_hidden,rw,,,,
DRP.A_RXPRBSCNTRESET,2,0,8,8,attr_hidden,rw,,,,
DRP.A_RXDLYBYPASS,2,0,7,7,attr_hidden,rw,,,,
DRP.A_RXDLYOVRDEN,2,0,6,6,attr_hidden,rw,,,,
DRP.A_RXPHDLYRESET,2,0,5,5,attr_hidden,rw,,,,
DRP.A_RXDLYEN,2,0,4,4,attr_hidden,rw,,,,
DRP.A_RXPHOVRDEN,2,0,3,3,attr_hidden,rw,,,,
DRP.A_RXPHDLYPD,2,0,2,2,attr_hidden,rw,,,,
DRP.A_RXDLYSRESET,2,0,1,1,attr_hidden,rw,,,,
DRP.CDR_SWAP_MODE_EN,2,0,0,0,attr,rw,,,,
DRP.RXBUFRESET_TIME,3,0,11,15,attr,rw,,,,
DRP.EYE_SCAN_SWAP_EN,3,0,9,9,attr,rw,,,,
DRP.RX_DATA_WIDTH,3,0,5,8,attr,rw,,,,
DRP.RXCDRFREQRESET_TIME,3,0,0,4,attr,rw,,,,
DRP.RXCDRPHRESET_TIME,4,0,11,15,attr,rw,,,,
DRP.PCI3_RX_ELECIDLE_H2L_DISABLE,4,0,8,10,attr,rw,,,,
DRP.RXDFELPMRESET_TIME,4,0,1,7,attr,rw,,,,
DRP.RX_FABINT_USRCLK_FLOP,4,0,0,0,attr,rw,,,,
DRP.RXPMARESET_TIME,5,0,11,15,attr,rw,,,,
DRP.PCI3_RX_ELECIDLE_LP4_DISABLE,5,0,10,10,attr,rw,,,,
DRP.PCI3_RX_ELECIDLE_EI2_ENABLE,5,0,9,9,attr,rw,,,,
DRP.PCI3_RX_FIFO_DISABLE,5,0,8,8,attr,rw,,,,
DRP.RXPCSRESET_TIME,5,0,3,7,attr,rw,,,,
DRP.RXELECIDLE_CFG,5,0,0,2,attr,rw,,,,
DRP.RXDFE_HB_CFG1,6,0,0,15,attr,rw,,,,
DRP.A_RXBUFRESET,7,0,15,15,attr_hidden,rw,,,,
DRP.A_RXPHALIGNEN,7,0,14,14,attr_hidden,rw,,,,
DRP.A_RXPHALIGN,7,0,13,13,attr_hidden,rw,,,,
DRP.A_GTRESETSEL,7,0,12,12,attr_hidden,rw,,,,
DRP.A_RXOOBRESET,7,0,11,11,attr_hidden,rw,,,,
DRP.A_RXOUTCLKSEL,7,0,8,10,attr_hidden,rw,,,,
DRP.A_RXPMARESET,7,0,7,7,attr_hidden,rw,,,,
DRP.A_RXPOLARITY,7,0,6,6,attr_hidden,rw,,,,
DRP.A_RXPCSRESET,7,0,4,4,attr_hidden,rw,,,,
DRP.A_RXPRBSSEL,7,0,0,3,attr_hidden,rw,,,,
DRP.A_TXDLYBYPASS,8,0,15,15,attr_hidden,rw,,,,
DRP.A_TXDLYOVRDEN,8,0,14,14,attr_hidden,rw,,,,
DRP.A_TXPHDLYRESET,8,0,13,13,attr_hidden,rw,,,,
DRP.A_TXPHINIT,8,0,12,12,attr_hidden,rw,,,,
DRP.A_TXPHOVRDEN,8,0,11,11,attr_hidden,rw,,,,
DRP.A_TXPHDLYPD,8,0,10,10,attr_hidden,rw,,,,
DRP.A_TXDLYSRESET,8,0,9,9,attr_hidden,rw,,,,
DRP.A_TXINHIBIT,8,0,8,8,attr_hidden,rw,,,,
DRP.A_RXCDROVRDEN,8,0,6,6,attr_hidden,rw,,,,
DRP.A_RXLPMEN,8,0,5,5,attr_hidden,rw,,,,
DRP.A_RXDFEVSEN,8,0,4,4,attr_hidden,rw,,,,
DRP.A_RXMONITORSEL,8,0,2,3,attr_hidden,rw,,,,
DRP.A_RXPD,8,0,0,1,attr_hidden,rw,,,,
DRP.TXPMARESET_TIME,9,0,11,15,attr,rw,,,,
DRP.RX_PMA_POWER_SAVE,9,0,10,10,attr,rw,,,,
DRP.TX_PMA_POWER_SAVE,9,0,9,9,attr,rw,,,,
DRP.TXPCSRESET_TIME,9,0,3,7,attr,rw,,,,
DRP.A_TXDLYEN,9,0,2,2,attr_hidden,rw,,,,
DRP.A_TXPHALIGNEN,9,0,1,1,attr_hidden,rw,,,,
DRP.A_TXPHALIGN,9,0,0,0,attr_hidden,rw,,,,
DRP.A_TXDEEMPH,a,0,15,15,attr_hidden,rw,,,,
DRP.A_TXELECIDLE,a,0,13,13,attr_hidden,rw,,,,
DRP.A_TXMAINCURSOR,a,0,4,10,attr_hidden,rw,,,,
DRP.A_TXOUTCLKSEL,b,0,11,13,attr_hidden,rw,,,,
DRP.A_TXPOLARITY,b,0,10,10,attr_hidden,rw,,,,
DRP.RXPMACLK_SEL,b,0,8,9,attr,rw,,,,
DRP.A_TXPMARESET,b,0,7,7,attr_hidden,rw,,,,
DRP.A_TXPD,b,0,5,6,attr_hidden,rw,,,,
DRP.TX_FABINT_USRCLK_FLOP,b,0,4,4,attr,rw,,,,
DRP.A_TXPCSRESET,b,0,3,3,attr_hidden,rw,,,,
DRP.A_TXMARGIN,b,0,0,2,attr_hidden,rw,,,,
DRP.A_TXSYSCLKSEL,c,0,14,15,attr_hidden,rw,,,,
DRP.A_TXPLLCLKSEL,c,0,12,13,attr_hidden,rw,,,,
DRP.TX_PROGCLK_SEL,c,0,10,11,attr,rw,,,,
DRP.RXISCANRESET_TIME,c,0,5,9,attr,rw,,,,
DRP.A_TXPRBSFORCEERR,c,0,4,4,attr_hidden,rw,,,,
DRP.A_TXPRBSSEL,c,0,0,3,attr_hidden,rw,,,,
DRP.AMONITOR_CFG,d,0,0,15,attr_hidden,rw,,,,
DRP.RXCDR_CFG0,e,0,0,15,attr,rw,,,,
DRP.RXCDR_CFG1,f,0,0,15,attr,rw,,,,
DRP.RXCDR_CFG2,10,0,0,15,attr,rw,,,,
DRP.RXCDR_CFG3,11,0,0,15,attr,rw,,,,
DRP.RXCDR_CFG4,12,0,0,15,attr,rw,,,,
DRP.RXCDR_LOCK_CFG0,13,0,0,15,attr,rw,,,,
DRP.CHAN_BOND_MAX_SKEW,14,0,12,15,attr,rw,,,,
DRP.CHAN_BOND_SEQ_LEN,14,0,10,11,attr,rw,,,,
DRP.CHAN_BOND_SEQ_1_1,14,0,0,9,attr,rw,,,,
DRP.PCI3_RX_ELECIDLE_HI_COUNT,15,0,10,15,attr,rw,,,,
DRP.CHAN_BOND_SEQ_1_3,15,0,0,9,attr,rw,,,,
DRP.PCI3_RX_ELECIDLE_H2L_COUNT,16,0,10,15,attr,rw,,,,
DRP.CHAN_BOND_SEQ_1_4,16,0,0,9,attr,rw,,,,
DRP.RX_BUFFER_CFG,17,0,10,15,attr,rw,,,,
DRP.RX_DEFER_RESET_BUF_EN,17,0,9,9,attr,rw,,,,
DRP.OOBDIVCTL,17,0,7,8,attr,rw,,,,
DRP.PCI3_AUTO_REALIGN,17,0,5,6,attr,rw,,,,
DRP.PCI3_PIPE_RX_ELECIDLE,17,0,4,4,attr,rw,,,,
DRP.A_RXSYSCLKSEL,17,0,2,3,attr_hidden,rw,,,,
DRP.A_RXPLLCLKSEL,17,0,0,1,attr_hidden,rw,,,,
DRP.CHAN_BOND_SEQ_1_ENABLE,18,0,12,15,attr,rw,,,,
DRP.PCI3_RX_ASYNC_EBUF_BYPASS,18,0,10,11,attr,rw,,,,
DRP.CHAN_BOND_SEQ_2_1,18,0,0,9,attr,rw,,,,
DRP.CHAN_BOND_SEQ_2_2,19,0,0,9,attr,rw,,,,
