NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP,DESCRIPTION
DRP.A_QPLL0LOCKEN,0,0,9,9,attr_hidden,rw,,,,
DRP.A_QPLL0PD,0,0,8,8,attr_hidden,rw,,,,
DRP.A_QPLL0RESET,0,0,7,7,attr_hidden,rw,,,,
DRP.A_GTREFCLKPD0,0,0,6,6,attr_hidden,rw,,,,
DRP.AEN_BGBS0,5,0,15,15,attr_hidden,rw,,,,
DRP.AEN_MASTER0,5,0,14,14,attr_hidden,rw,,,,
DRP.AEN_PD0,5,0,13,13,attr_hidden,rw,,,,
DRP.AEN_QPLL0,5,0,12,12,attr_hidden,rw,,,,
DRP.AEN_REFCLK0,5,0,11,11,attr_hidden,rw,,,,
DRP.AEN_RESET0,5,0,10,10,attr_hidden,rw,,,,
DRP.REFCLK0_EN_DC_COUP,7,0,13,13,attr_hidden,rw,,,,
DRP.REFCLK0_VCM_HIGH,7,0,1,1,attr_hidden,rw,,,,
DRP.REFCLK0_VCM_LOW,7,0,0,0,attr_hidden,rw,,,,
DRP.QPLL0_CFG0,8,0,0,15,attr,rw,,,,
DRP.COMMON_CFG0,9,0,0,15,attr,rw,,,,
DRP.COMMON_INSTANTIATED,a,0,13,13,attr_hidden,rw,,,,
DRP.COMMON_AMUX_SEL0,a,0,11,12,attr_hidden,rw,,,,
DRP.RSVD_ATTR0,b,0,0,15,attr,rw,,,,
DRP.PPF0_CFG,d,0,0,15,attr,rw,,,,
DRP.QPLL0CLKOUT_RATE,e,0,0,0,attr,rw,,,,
DRP.QPLL0_CFG1,10,0,0,15,attr,rw,,,,
DRP.QPLL0_CFG2,11,0,0,15,attr,rw,,,,
DRP.QPLL0_LOCK_CFG,12,0,0,15,attr,rw,,,,
DRP.QPLL0_INIT_CFG0,13,0,0,15,attr,rw,,,,
DRP.QPLL0_INIT_CFG1,14,0,8,15,attr,rw,,,,
DRP.QPLL0_FBDIV,14,0,0,7,attr,rw,,,,
DRP.QPLL0_CFG3,15,0,0,15,attr,rw,,,,
DRP.QPLL0_CP,16,0,0,9,attr,rw,,,,
DRP.QPLL0_AMONITOR_SEL,17,0,13,15,attr_hidden,rw,,,,
DRP.QPLL0_REFCLK_DIV,18,0,7,11,attr,rw,,,,
DRP.QPLL0_IPS_EN,18,0,6,6,attr,rw,,,,
DRP.QPLL0_IPS_REFCLK_SEL,18,0,3,5,attr,rw,,,,
DRP.QPLL0_LPF,19,0,0,9,attr,rw,,,,
DRP.QPLL0_CFG1_G3,1a,0,0,15,attr,rw,,,,
