NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.A_BGMONITOREN,80,0,11,11,attr,rw,,y,
DRP.A_BGPD,80,0,10,10,attr,rw,,y,
DRP.A_GTREFCLKPD0,0,0,6,6,attr,rw,,y,
DRP.A_GTREFCLKPD1,80,0,6,6,attr,rw,,y,
DRP.A_QPLL0LOCKEN,0,0,9,9,attr,rw,,y,
DRP.A_QPLL0PD,0,0,8,8,attr,rw,,y,
DRP.A_QPLL0RESET,0,0,7,7,attr,rw,,y,
DRP.A_QPLL1LOCKEN,80,0,9,9,attr,rw,,y,
DRP.A_QPLL1PD,80,0,8,8,attr,rw,,y,
DRP.A_QPLL1RESET,80,0,7,7,attr,rw,,y,
DRP.A_SDM0DATA_HIGH,29,0,0,8,attr,rw,,y,
DRP.A_SDM0DATA_LOW,28,0,0,15,attr,rw,,y,
DRP.A_SDM0RESET,29,0,12,12,attr,rw,,y,
DRP.A_SDM0TOGGLE,29,0,13,13,attr,rw,,y,
DRP.A_SDM1DATA_HIGH,a9,0,0,8,attr,rw,,y,
DRP.A_SDM1DATA_LOW,a8,0,0,15,attr,rw,,y,
DRP.A_SDM1RESET,a9,0,12,12,attr,rw,,y,
DRP.A_SDM1TOGGLE,a9,0,13,13,attr,rw,,y,
DRP.AEN_BGBS0,5,0,15,15,attr,rw,,y,
DRP.AEN_BGBS1,85,0,15,15,attr,rw,,y,
DRP.AEN_MASTER0,5,0,14,14,attr,rw,,y,
DRP.AEN_MASTER1,85,0,14,14,attr,rw,,y,
DRP.AEN_PD0,5,0,13,13,attr,rw,,y,
DRP.AEN_PD1,85,0,13,13,attr,rw,,y,
DRP.AEN_QPLL0,5,0,12,12,attr,rw,,y,
DRP.AEN_QPLL0_FBDIV,29,0,15,15,attr,rw,,y,
DRP.AEN_QPLL1,85,0,12,12,attr,rw,,y,
DRP.AEN_QPLL1_FBDIV,a9,0,15,15,attr,rw,,y,
DRP.AEN_REFCLK0,5,0,11,11,attr,rw,,y,
DRP.AEN_REFCLK1,85,0,11,11,attr,rw,,y,
DRP.AEN_RESET0,5,0,10,10,attr,rw,,y,
DRP.AEN_RESET1,85,0,10,10,attr,rw,,y,
DRP.AEN_SDM0DATA,29,0,9,9,attr,rw,,y,
DRP.AEN_SDM0RESET,29,0,11,11,attr,rw,,y,
DRP.AEN_SDM0TOGGLE,29,0,14,14,attr,rw,,y,
DRP.AEN_SDM0WIDTH,29,0,10,10,attr,rw,,y,
DRP.AEN_SDM1DATA,a9,0,9,9,attr,rw,,y,
DRP.AEN_SDM1RESET,a9,0,11,11,attr,rw,,y,
DRP.AEN_SDM1TOGGLE,a9,0,14,14,attr,rw,,y,
DRP.AEN_SDM1WIDTH,a9,0,10,10,attr,rw,,y,
DRP.AQDMUXSEL1,80,0,12,15,attr,rw,,y,
DRP.AVCC_SENSE_SEL,8a,0,4,7,attr,rw,,y,
DRP.AVTT_SENSE_SEL,80,0,0,3,attr,rw,,y,
DRP.BIAS_CFG0,81,0,0,15,attr,rw,,y,
DRP.BIAS_CFG1,82,0,0,15,attr,rw,,y,
DRP.BIAS_CFG2,83,0,0,15,attr,rw,,y,
DRP.BIAS_CFG3,84,0,0,15,attr,rw,,y,
DRP.BIAS_CFG4,86,0,0,15,attr,rw,,y,
DRP.BIAS_CFG_RSVD,8f,0,0,15,attr,rw,,y,
DRP.COMMON_AMUX_SEL0,a,0,11,12,attr,rw,,y,
DRP.COMMON_AMUX_SEL1,8a,0,11,12,attr,rw,,y,
DRP.COMMON_CFG0,9,0,0,15,attr,rw,,y,
DRP.COMMON_CFG1,89,0,0,15,attr,rw,,y,
DRP.COMMON_INSTANTIATED,a,0,13,13,attr,rw,,y,
DRP.NORTH_REFCLK0_SEL0,c,0,12,13,attr,rw,,y,
DRP.NORTH_REFCLK0_SEL1,8c,0,12,13,attr,rw,,y,
DRP.NORTH_REFCLK1_SEL0,c,0,10,11,attr,rw,,y,
DRP.NORTH_REFCLK1_SEL1,8c,0,10,11,attr,rw,,y,
DRP.POR_CFG,8b,0,0,15,attr,rw,,y,
DRP.PPF0_CFG,d,0,0,15,attr,rw,,y,
DRP.PPF1_CFG,8d,0,0,15,attr,rw,,y,
DRP.QPLL0_AMONITOR_SEL,17,0,13,15,attr,rw,,y,
DRP.QPLL0_CFG0,8,0,0,15,attr,rw,,y,
DRP.QPLL0_CFG1,10,0,0,15,attr,rw,,y,
DRP.QPLL0_CFG1_G3,1a,0,0,15,attr,rw,,y,
DRP.QPLL0_CFG2,11,0,0,15,attr,rw,,y,
DRP.QPLL0_CFG2_G3,1b,0,0,15,attr,rw,,y,
DRP.QPLL0_CFG3,15,0,0,15,attr,rw,,y,
DRP.QPLL0_CFG4,30,0,0,15,attr,rw,,y,
DRP.QPLL0_CP,16,0,0,9,attr,rw,,y,
DRP.QPLL0_CP_G3,25,0,0,9,attr,rw,,y,
DRP.QPLL0_FBDIV,14,0,0,7,attr,rw,,y,
DRP.QPLL0_FBDIV_G3,1f,0,8,15,attr,rw,,y,
DRP.QPLL0_INIT_CFG0,13,0,0,15,attr,rw,,y,
DRP.QPLL0_INIT_CFG1,14,0,8,15,attr,rw,,y,
DRP.QPLL0_IPS_EN,18,0,6,6,attr,rw,,y,
DRP.QPLL0_IPS_REFCLK_SEL,18,0,3,5,attr,rw,,y,
DRP.QPLL0_LOCK_CFG,12,0,0,15,attr,rw,,y,
DRP.QPLL0_LOCK_CFG_G3,1d,0,0,15,attr,rw,,y,
DRP.QPLL0_LPF,19,0,0,9,attr,rw,,y,
DRP.QPLL0_LPF_G3,1c,0,0,9,attr,rw,,y,
DRP.QPLL0_PCI_EN,1f,0,2,2,attr,rw,,y,
DRP.QPLL0_RATE_SW_USE_DRP,1f,0,3,3,attr,rw,,y,
DRP.QPLL0_REFCLK_DIV,18,0,7,11,attr,rw,,y,
DRP.QPLL0_SDM_CFG0,20,0,0,15,attr,rw,,y,
DRP.QPLL0_SDM_CFG1,21,0,0,15,attr,rw,,y,
DRP.QPLL0_SDM_CFG2,24,0,0,15,attr,rw,,y,
DRP.QPLL0CLKOUT_RATE,e,0,0,0,attr,rw,,y,
DRP.QPLL1_AMONITOR_SEL,97,0,13,15,attr,rw,,y,
DRP.QPLL1_CFG0,88,0,0,15,attr,rw,,y,
DRP.QPLL1_CFG1,90,0,0,15,attr,rw,,y,
DRP.QPLL1_CFG1_G3,9a,0,0,15,attr,rw,,y,
DRP.QPLL1_CFG2,91,0,0,15,attr,rw,,y,
DRP.QPLL1_CFG2_G3,9b,0,0,15,attr,rw,,y,
DRP.QPLL1_CFG3,95,0,0,15,attr,rw,,y,
DRP.QPLL1_CFG4,b0,0,0,15,attr,rw,,y,
DRP.QPLL1_CP,96,0,0,9,attr,rw,,y,
DRP.QPLL1_CP_G3,a5,0,0,9,attr,rw,,y,
DRP.QPLL1_FBDIV,94,0,0,7,attr,rw,,y,
DRP.QPLL1_FBDIV_G3,9f,0,8,15,attr,rw,,y,
DRP.QPLL1_INIT_CFG0,93,0,0,15,attr,rw,,y,
DRP.QPLL1_INIT_CFG1,94,0,8,15,attr,rw,,y,
DRP.QPLL1_IPS_EN,98,0,6,6,attr,rw,,y,
DRP.QPLL1_IPS_REFCLK_SEL,98,0,3,5,attr,rw,,y,
DRP.QPLL1_LOCK_CFG,92,0,0,15,attr,rw,,y,
DRP.QPLL1_LOCK_CFG_G3,9d,0,0,15,attr,rw,,y,
DRP.QPLL1_LPF,99,0,0,9,attr,rw,,y,
DRP.QPLL1_LPF_G3,9c,0,0,9,attr,rw,,y,
DRP.QPLL1_PCI_EN,9f,0,2,2,attr,rw,,y,
DRP.QPLL1_RATE_SW_USE_DRP,9f,0,3,3,attr,rw,,y,
DRP.QPLL1_REFCLK_DIV,98,0,7,11,attr,rw,,y,
DRP.QPLL1_SDM_CFG0,a0,0,0,15,attr,rw,,y,
DRP.QPLL1_SDM_CFG1,a1,0,0,15,attr,rw,,y,
DRP.QPLL1_SDM_CFG2,a4,0,0,15,attr,rw,,y,
DRP.QPLL1CLKOUT_RATE,8e,0,0,0,attr,rw,,y,
DRP.RCAL_APROBE,8a,0,0,0,attr,rw,,y,
DRP.RCALSAP_TESTEN,8a,0,1,1,attr,rw,,y,
DRP.REFCLK0_CLKOUT_SEL,7,0,14,15,attr,rw,,y,
DRP.REFCLK0_EN_DC_COUP,7,0,13,13,attr,rw,,y,
DRP.REFCLK0_EN_FABRIC_CK,7,0,12,12,attr,rw,,y,
DRP.REFCLK0_EN_TX_PATH,7,0,11,11,attr,rw,,y,
DRP.REFCLK0_HROW_CK_SEL,7,0,9,10,attr,rw,,y,
DRP.REFCLK0_ICNTL_RX,7,0,7,8,attr,rw,,y,
DRP.REFCLK0_TX_DIFFCTRL,7,0,2,6,attr,rw,,y,
DRP.REFCLK0_VCM_HIGH,7,0,1,1,attr,rw,,y,
DRP.REFCLK0_VCM_LOW,7,0,0,0,attr,rw,,y,
DRP.REFCLK1_CLKOUT_SEL,87,0,14,15,attr,rw,,y,
DRP.REFCLK1_EN_DC_COUP,87,0,13,13,attr,rw,,y,
DRP.REFCLK1_EN_FABRIC_CK,87,0,12,12,attr,rw,,y,
DRP.REFCLK1_EN_TX_PATH,87,0,11,11,attr,rw,,y,
DRP.REFCLK1_HROW_CK_SEL,87,0,9,10,attr,rw,,y,
DRP.REFCLK1_ICNTL_RX,87,0,7,8,attr,rw,,y,
DRP.REFCLK1_TX_DIFFCTRL,87,0,2,6,attr,rw,,y,
DRP.REFCLK1_VCM_HIGH,87,0,1,1,attr,rw,,y,
DRP.REFCLK1_VCM_LOW,87,0,0,0,attr,rw,,y,
DRP.RSVD_ATTR0,1e,0,0,15,attr,rw,,y,
DRP.RSVD_ATTR1,2d,0,0,15,attr,rw,,y,
DRP.RSVD_ATTR2,9e,0,0,15,attr,rw,,y,
DRP.RSVD_ATTR3,ad,0,0,15,attr,rw,,y,
DRP.RXRECCLKOUT0_SEL,1f,0,0,1,attr,rw,,y,
DRP.RXRECCLKOUT1_SEL,9f,0,0,1,attr,rw,,y,
DRP.SARC_ENB,98,0,12,12,attr,rw,,y,
DRP.SARC_SEL,98,0,13,13,attr,rw,,y,
DRP.SDM0INITSEED0_0,22,0,0,15,attr,rw,,y,
DRP.SDM0INITSEED0_1,23,0,0,8,attr,rw,,y,
DRP.SDM1INITSEED0_0,a2,0,0,15,attr,rw,,y,
DRP.SDM1INITSEED0_1,a3,0,0,8,attr,rw,,y,
DRP.SIM_MODE,f,0,8,11,attr,rw,,y,
DRP.SIM_RESET_SPEEDUP,f,0,15,15,attr,rw,,y,
DRP.SIM_VERSION,f,0,12,14,attr,rw,,y,
DRP.SOUTH_REFCLK0_SEL0,c,0,2,3,attr,rw,,y,
DRP.SOUTH_REFCLK0_SEL1,8c,0,2,3,attr,rw,,y,
DRP.SOUTH_REFCLK1_SEL0,c,0,0,1,attr,rw,,y,
DRP.SOUTH_REFCLK1_SEL1,8c,0,0,1,attr,rw,,y,
DRP.VCCAUX_SENSE_SEL,8a,0,2,3,attr,rw,,y,
DRP.QPLL0_CRSCODE,101,0,1,5,attr,r,,y,
DRP.QPLL1_CRSCODE,181,0,1,5,attr,r,,y,
DRP.RCAL,183,0,0,4,attr,r,,y,
PORT.BGBYPASSB,400,0,0,0,port,rw,1'b1,y,GTHE4_COMMON
PORT.BGMONITORENB,400,0,1,1,port,rw,1'b1,y,GTHE4_COMMON
PORT.BGPDB,400,0,2,2,port,rw,1'b1,y,GTHE4_COMMON
PORT.BGRCALOVRDENB,400,0,3,3,port,rw,1'b1,y,GTHE4_COMMON
PORT.QPLL0LOCKEN,400,0,7,7,port,rw,1'b1,y,GTHE4_COMMON
PORT.QPLL0OUTRESET,400,0,8,8,port,rw,0,y,GTHE4_COMMON
PORT.QPLL0PD,400,0,9,9,port,rw,C_QPLL0PD,y,GTHE4_COMMON
PORT.QPLL0RESET,400,0,10,10,port,rw,0,y,GTHE4_COMMON
PORT.QPLL1LOCKEN,400,0,12,12,port,rw,1'b1,y,GTHE4_COMMON
PORT.QPLL1OUTRESET,400,0,13,13,port,rw,0,y,GTHE4_COMMON
PORT.QPLL1PD,400,0,14,14,port,rw,C_QPLL1PD,y,GTHE4_COMMON
PORT.QPLL1RESET,400,0,15,15,port,rw,0,y,GTHE4_COMMON
PORT.RCALENB,401,0,0,0,port,rw,1'b1,y,GTHE4_COMMON
PORT.SDM0BYPASS,401,0,1,1,port,rw,0,y,GTHE4_COMMON
PORT.SDM0RATESEL,401,0,2,2,port,rw,0,y,GTHE4_COMMON
PORT.SDM0RESETB,401,0,3,3,port,rw,0,y,GTHE4_COMMON
PORT.SDM1BYPASS,401,0,4,4,port,rw,0,y,GTHE4_COMMON
PORT.SDM1RATESEL,401,0,5,5,port,rw,0,y,GTHE4_COMMON
PORT.SDM1RESETB,401,0,6,6,port,rw,0,y,GTHE4_COMMON
PORT.QPLLRSVD1,402,0,0,7,port,rw,0,y,GTHE4_COMMON
PORT.QPLL0REFCLKSEL,407,0,0,2,port,rw,C_QPLL0REFCLKSEL,y,GTHE4_COMMON
PORT.QPLL1REFCLKSEL,407,0,3,5,port,rw,C_QPLL1REFCLKSEL,y,GTHE4_COMMON
PORT.BGRCALOVRD,407,0,6,10,port,rw,5'h1F,y,GTHE4_COMMON
PORT.QPLLRSVD2,407,0,11,15,port,rw,0,y,GTHE4_COMMON
PORT.PMARSVD,408,0,0,7,port,rw,0,y,GTHE4_COMMON
PORT.QPLL0FBCLKLOST,409,0,1,1,port,r,,y,GTHE4_COMMON
PORT.QPLL0LOCK,409,0,2,2,port,r,,y,GTHE4_COMMON
PORT.QPLL0REFCLKLOST,409,0,5,5,port,r,,y,GTHE4_COMMON
PORT.QPLL1FBCLKLOST,409,0,6,6,port,r,,y,GTHE4_COMMON
PORT.QPLL1LOCK,409,0,7,7,port,r,,y,GTHE4_COMMON
PORT.QPLL1REFCLKLOST,409,0,10,10,port,r,,y,GTHE4_COMMON
PORT.REFCLKOUTMONITOR,409,0,11,11,port,r,,y,GTHE4_COMMON
PORT.SDM0TESTDATA,40A,0,0,14,port,r,,y,GTHE4_COMMON
PORT.SDM1TESTDATA,40B,0,0,14,port,r,,y,GTHE4_COMMON
PORT.PMARSVDOUT,40C,0,0,15,port,r,,y,GTHE4_COMMON
PORT.SDM0FINALOUT,40D,0,0,3,port,r,,y,GTHE4_COMMON
PORT.SDM1FINALOUT,40D,0,4,7,port,r,,y,GTHE4_COMMON
PORT.QPLLDMONITOR,40D,0,8,15,port,r,,y,GTHE4_COMMON
PORT.REFCLKOUTMONITOR0,40E,0,3,3,port,r,,y,GTHE4_COMMON
PORT.REFCLKOUTMONITOR1,40E,0,4,4,port,r,,y,GTHE4_COMMON
PORT.PMARSVDOUT0,40F,0,0,7,port,r,,y,GTHE4_COMMON
PORT.PMARSVDOUT1,40F,0,8,15,port,r,,y,GTHE4_COMMON
PORT.PMASCANOUT,410,0,0,7,port,r,,y,GTHE4_COMMON
PORT.RXRECCLK0SEL,410,0,8,9,port,r,,y,GTHE4_COMMON
PORT.RXRECCLK1SEL,410,0,10,11,port,r,,y,GTHE4_COMMON
PORT.QPLLDMONITOR0,411,0,0,7,port,r,,y,GTHE4_COMMON
PORT.QPLLDMONITOR1,411,0,8,15,port,r,,y,GTHE4_COMMON
PORT.PMASCANENB,412,0,0,0,port,rw,1'b1,y,GTHE4_COMMON
PORT.QDPMASCANMODEB,412,0,1,1,port,rw,1'b1,y,GTHE4_COMMON
PORT.QDPMASCANRSTEN,412,0,2,2,port,rw,1'b1,y,GTHE4_COMMON
PORT.PMARSVD0,413,0,0,7,port,rw,0,y,GTHE4_COMMON
