NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
SERDES.L0_TX_ANA_TM_0.TX_ANA_TM_0_31_8_RSVD,FD400000,0,8,31,attr,r,,y,
SERDES.L0_TX_ANA_TM_0.ANA_BYP0_7_6_RSVD,FD400000,0,6,7,attr,r,,y,
SERDES.L0_TX_ANA_TM_0.PIPE_TX_DN_RXDET,FD400000,0,5,5,attr,rw,,y,
SERDES.L0_TX_ANA_TM_0.FORCE_PIPE_TX_DN_RXDET,FD400000,0,4,4,attr,rw,,y,
SERDES.L0_TX_ANA_TM_0.PIPE_TX_DP_RXDET,FD400000,0,3,3,attr,rw,,y,
SERDES.L0_TX_ANA_TM_0.FORCE_PIPE_TX_DP_RXDET,FD400000,0,2,2,attr,rw,,y,
SERDES.L0_TX_ANA_TM_0.ANA_BYP0_1_0_RSVD,FD400000,0,0,1,attr,r,,y,
SERDES.L0_TX_ANA_TM_3.TX_ANA_TM_3_31_8_RSVD,FD40000C,0,8,31,attr,r,,y,
SERDES.L0_TX_ANA_TM_3.TX_HS_SER_RSTB,FD40000C,0,7,7,attr,rw,,y,
SERDES.L0_TX_ANA_TM_3.FORCE_TX_HS_SER_RSTB,FD40000C,0,6,6,attr,rw,,y,
SERDES.L0_TX_ANA_TM_3.TX_HS_BURST,FD40000C,0,5,5,attr,rw,,y,
SERDES.L0_TX_ANA_TM_3.FORCE_TX_HS_BURST,FD40000C,0,4,4,attr,rw,,y,
SERDES.L0_TX_ANA_TM_3.TX_SERIALIZER_ENABLE,FD40000C,0,3,3,attr,rw,,y,
SERDES.L0_TX_ANA_TM_3.FORCE_TX_SERIALIZER_ENABLE,FD40000C,0,2,2,attr,rw,,y,
SERDES.L0_TX_ANA_TM_3.TX_ENABLE_SUPPLY_SERIALIZER,FD40000C,0,1,1,attr,rw,,y,
SERDES.L0_TX_ANA_TM_3.FORCE_TX_ENABLE_SUPPLY_SERIALIZER,FD40000C,0,0,0,attr,rw,,y,
SERDES.L0_TX_ANA_TM_4.TX_ANA_TM_4_31_8_RSVD,FD400010,0,8,31,attr,r,,y,
SERDES.L0_TX_ANA_TM_4.ANA_BYP4_7_RSVD,FD400010,0,7,7,attr,r,,y,
