NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER
DATA_WIDTH,0,0,0,15,status,r,,y
DATA_DEPTH,1,0,0,15,status,r,,y
DATA_DEPTH,2,1,0,15,status,r,,y
MU_CNT,3,0,0,15,status,r,,y
TC_CNT,4,0,0,15,status,r,,y
CAPTURE_TYPE,5,0,0,15,status,r,,y
TRIGGER_TO_PORT,6,0,0,2,logic,rw,,y
ARM,7,0,0,0,logic,rw,,y
HALT,7,0,1,1,logic,rw,,y
TRIG_IN_EN,7,0,2,2,logic,rw,1,y
TRIG_OUT_EN,7,0,3,3,logic,rw,1,y
TAS_ENABLE,7,0,4,4,logic,rw,,y
TRIG_IN_TO_TRIG_OUT,7,0,5,5,logic,rw,,y
ARMED,8,0,0,0,logic,r,,y
HALTED,8,0,1,1,logic,r,,y
TRIGGERED,8,0,2,2,logic,r,,y
FULL,8,0,3,3,logic,r,,y
TRIG_IN,8,0,4,4,logic,r,,y
TRIG_OUT,8,0,5,5,logic,r,,y
CAPTURE_CNT,9,0,0,15,logic,r,,y
CAPTURE_CNT,a,1,0,15,logic,r,,y
EVENT_CNT1,b,0,0,15,logic,r,,y
EVENT_CNT1,c,1,0,15,logic,r,,y
EVENT_CNT2,d,0,0,15,logic,r,,y
EVENT_CNT2,e,1,0,15,logic,r,,y
EVENT_CNT3,f,0,0,15,logic,r,,y
EVENT_CNT3,10,1,0,15,logic,r,,y
EVENT_CNT4,11,0,0,15,logic,r,,y
EVENT_CNT4,12,1,0,15,logic,r,,y
EVENT_CNT5,13,0,0,15,logic,r,,y
EVENT_CNT5,14,1,0,15,logic,r,,y
DATA_OUT_RESET,15,0,0,0,logic,rw,0,y
DEBUG_IN_RESET,15,0,1,1,logic,rw,0,y
USE_MEMORY_DEBUG,15,0,2,2,logic,rw,0,y
DATA_OUT_RESET_ADDR,16,0,0,15,logic,rw,0,y
DATA_OUT_RESET_ADDR,17,1,0,15,logic,rw,0,y
DEBUG_IN_RESET_ADDR,18,0,0,15,logic,rw,0,y
DEBUG_IN_RESET_ADDR,19,1,0,15,logic,rw,0,y
CAPTURE_MODE,1a,0,0,0,logic,rw,1,y
CAPTURE_QUALIFICATION,1a,0,1,2,logic,rw,0,y
ADV_TRIG_EN,1a,0,3,3,logic,rw,,y
WINDOW_CNT,80,0,0,15,status,rw,1,y
WINDOW_CNT,81,1,0,15,status,rw,0,y
SAMPLE_CNT,82,0,0,15,status,rw,1,y
SAMPLE_CNT,83,1,0,15,status,rw,0,y
TRIG_POS,84,0,0,15,status,rw,0,y
TRIG_POS,85,1,0,15,status,rw,0,y
MU_TYPE,86,0,0,7,status,r,0,y
TC_TYPE,86,0,8,15,status,r,0,y
MU0_WIDTH,87,0,0,15,status,r,,y
MU0_TPID,88,0,0,9,status,r,,y
MU1_WIDTH,89,0,0,15,status,r,,y
MU1_TPID,8a,0,0,9,status,r,,y
MU2_WIDTH,8b,0,0,15,status,r,,y
MU2_TPID,8c,0,0,9,status,r,,y
MU3_WIDTH,8d,0,0,15,status,r,,y
MU3_TPID,8e,0,0,9,status,r,,y
MU4_WIDTH,8f,0,0,15,status,r,,y
MU4_TPID,90,0,0,9,status,r,,y
MU5_WIDTH,91,0,0,15,status,r,,y
MU5_TPID,92,0,0,9,status,r,,y
MU6_WIDTH,93,0,0,15,status,r,,y
MU6_TPID,94,0,0,9,status,r,,y
MU7_WIDTH,95,0,0,15,status,r,,y
MU7_TPID,96,0,0,9,status,r,,y
MU8_WIDTH,97,0,0,15,status,r,,y
MU8_TPID,98,0,0,9,status,r,,y
MU9_WIDTH,99,0,0,15,status,r,,y
MU9_TPID,9a,0,0,9,status,r,,y
MU10_WIDTH,9b,0,0,15,status,r,,y
MU10_TPID,9c,0,0,9,status,r,,y
MU11_WIDTH,9d,0,0,15,status,r,,y
MU11_TPID,9e,0,0,9,status,r,,y
MU12_WIDTH,9f,0,0,15,status,r,,y
MU12_TPID,a0,0,0,9,status,r,,y
