STAGE_NAME,GUI_DISPLAY_NAME,READ_SIMPLE,READ_COMPLEX,WRITE_SIMPLE,WRITE_COMPLEX,WRITE_DM
01_db_rank0_mrep,1- Data Buffer Rank 0 MREP,0,0,0,0,0
02_db_rank0_mrd_cycle,2- Data Buffer Rank 0 MRD Cycle,0,0,0,0,0
03_db_rank0_mrd_center,3- Data Buffer Rank 0 MRD Center,0,0,0,0,0
04_db_rank0_dwl,4- Data Buffer Rank 0 DWL,0,0,0,0,0
05_db_rank0_mwd_cycle,5- Data Buffer Rank 0 MWD Cycle,0,0,0,0,0
06_db_rank0_mwd_center,6- Data Buffer Rank 0 MWD Center,0,0,0,0,0
07_db_rank1_mrep,7- Data Buffer Rank 1 MREP,0,0,0,0,0
08_db_rank1_mrd_cycle,8- Data Buffer Rank 1 MRD Cycle,0,0,0,0,0
09_db_rank1_mrd_center,9- Data Buffer Rank 1 MRD Center,0,0,0,0,0
10_db_rank1_dwl,10- Data Buffer Rank 1 DWL,0,0,0,0,0
11_db_rank1_mwd_cycle,11- Data Buffer Rank 1 MWD Cycle,0,0,0,0,0
12_db_rank1_mwd_center,12- Data Buffer Rank 1 MWD Center,0,0,0,0,0
13_db_rank2_mrep,13- Data Buffer Rank 2 MREP,0,0,0,0,0
14_db_rank2_mrd_cycle,14- Data Buffer Rank 2 MRD Cycle,0,0,0,0,0
15_db_rank2_mrd_center,15- Data Buffer Rank 2 MRD Center,0,0,0,0,0
16_db_rank2_dwl,16- Data Buffer Rank 2 DWL,0,0,0,0,0
17_db_rank2_mwd_cycle,17- Data Buffer Rank 2 MWD Cycle,0,0,0,0,0
18_db_rank2_mwd_center,18- Data Buffer Rank 2 MWD Center,0,0,0,0,0
19_db_rank3_mrep,19- Data Buffer Rank 3 MREP,0,0,0,0,0
20_db_rank3_mrd_cycle,20- Data Buffer Rank 3 MRD Cycle,0,0,0,0,0
21_db_rank3_mrd_center,21- Data Buffer Rank 3 MRD Center,0,0,0,0,0
22_db_rank3_dwl,22- Data Buffer Rank 3 DWL,0,0,0,0,0
23_db_rank3_mwd_cycle,23- Data Buffer Rank 3 MWD Cycle,0,0,0,0,0
24_db_rank3_mwd_center,24- Data Buffer Rank 3 MWD Center,0,0,0,0,0
25_dqs_gate,25 - DQS Gate,0,0,0,0,0
26_dqs_gate_sanity_check,26 - DQS Gate Sanity Check,0,0,0,0,0
27_write_leveling,27 - Write Leveling,0,0,0,0,0
28_read_per_bit_deskew,28 - Read Per-Bit Deskew,0,0,0,0,0
29_read_per_bit_deskew_dbi,29 - Read Per-Bit DBI Deskew,0,0,0,0,0
30_read_dqs_centering,30 - Read DQS Centering (Simple),1,0,0,0,0
31_read_sanity_check,31 - Read Sanity Check,0,0,0,0,0
32_write_dqs_to_dq_deskew,32 - Write DQS to DQ Deskew,0,0,0,0,0
33_write_dqs_to_dm_dbi_deskew,33 - Write DQS to DM/DBI Deskew,0,0,0,0,0
34_write_dqs_to_dq(simple),34 - Write DQS to DQ (Simple),0,0,1,0,0
35_write_dqs_to_dm_dbi(simple),35 - Write DQS to DM/DBI (Simple),0,0,0,0,0
36_read_dqs_centering_dbi,36 - Read DQS Centering DBI (Simple),0,0,0,0,0
37_write_latency_calibration,37 - Write Latency Calibration,0,0,0,0,0
38_write_read_sanity_check,38 - Write Read Sanity Check 0,0,0,0,0,0
39_read_leveling(complex),39 - Read DQS Centering (Complex),0,1,0,0,0
40_write_read_sanity_check,40 - Write Read Sanity Check 1,0,0,0,0,0
41_read_vref_training,41 - Read VREF Training,0,0,0,0,0
42_write_read_sanity_check,42 - Write Read Sanity Check 2,0,0,0,0,0
43_write_dqs_to_dq(complex),43 - Write DQS to DQ (Complex),0,0,0,1,0
44_write_dqs_to_dm_dbi(complex),44 - Write DQS to DM/DBI (Complex),0,0,0,0,0
45_write_read_sanity_check,45 - Write Read Sanity Check 3,0,0,0,0,0
46_write_vref_training,46 - Write VREF Training,0,0,0,0,0
47_write_read_sanity_check,47 - Write Read Sanity Check 4,0,0,0,0,0
48_read_dqs_centering_multi_rank_adjustment,48 - Read DQS Centering Multi Rank Adjustment,0,0,0,0,0
49_write_read_sanity_check,49 - Write Read Sanity Check 5,0,0,0,0,0
50_multi_rank_adjust_check,50 - Multi Rank Adjustment and Checks,0,0,0,0,0
51_write_read_sanity_check,51 - Write Read Sanity Check 6,0,0,0,0,0
