STAGE_NAME,STAGE,CODE,CAL_ERROR_1,CAL_ERROR_0,ERROR
DB Rank 0 MREP,1,1,nibble,na,Edge 1 to 0 transition is not found for Rank 0
DB Rank 0 MRD Cycle,2,1,nibble,na,Pattern didn't match for any of the Read latencies of Rank 0
DB Rank 0 MRD Center,3,1,nibble,na,Found very short read valid window for Rank 0
DB Rank 0 DWL,4,1,nibble,na,Edge 0 to 1 transition is not found for Rank 0
DB Rank 0 MWD Cycle,5,1,nibble,na,Pattern didn't match for any of the Write latencies of Rank 0
DB Rank 0 MWD Center,6,1,nibble,na,Found very short write valid window for Rank 0
DB Rank 1 MREP,7,1,nibble,na,Edge 1 to 0 transition is not found for Rank 1
DB Rank 1 MRD Cycle,8,1,nibble,na,Pattern didn't match for any of the Read latencies of Rank 1
DB Rank 1 MRD Center,9,1,nibble,na,Found very short read valid window for Rank 1
DB Rank 1 DWL,10,1,nibble,na,Edge 0 to 1 transition is not found for Rank 1
DB Rank 1 MWD Cycle,11,1,nibble,na,Pattern didn't match for any of the Write latencies of Rank 1
DB Rank 1 MWD Center,12,1,nibble,na,Found very short write valid window for Rank 1
dqs_gate,13,1,byte,nibble,Calibration uses the calculated latency from the MR register as a starting point and then backs off and begins sampling. If the sample occurs too late in the DQS burst and there are no taps left to decrement for the latency then an error has occurred.
dqs_gate,13,2,byte,nibble,Expected pattern was not found on GT_STATUS.
dqs_gate,13,3,byte,nibble,CAS latency is too low. Calibration starts at a CAS latency (CL) minus 3; Refer to PG150 for allowable CAS latencies.
dqs_gate,13,4,byte,nibble,"Pattern not found on GT_STATUS, all samples were 0. Expecting to sample the preamble."
dqs_gate,13,5,byte,nibble,"Pattern not found on GT_STATUS, all samples were 1. Expecting to sample the preamble."
dqs_gate,13,6,byte,nibble,Could not find the 0->1 transition with fine taps in at least 1 tck (estimated) of fine taps.
dqs_gate,13,7,byte,nibble,Underflow of coarse taps when trying to limit maximum coarse tap setting.
dqs_gate,13,8,byte,nibble,Violation of maximum read latency limit.
dqs_gate,13,9,byte,nibble,Data check failed with DQS gate settings and read latency range has been exhausted.
dqs_gate_sanity_check,14,15,na,na,Phy fails to return same number of data bursts as expected
write_leveling,15,1,byte,na,Could not find stable 0.
write_leveling,15,2,byte,na,Could not find stable 1.
write_leveling,15,3,byte,na,Cant find the left edge of noise region with fine taps.
write_leveling,15,4,byte,na,Could not find the 0->1 transition with fine taps in at least 1 tck (estimated) of ODELAY taps.
read_per_bit_deskew,16,1,nibble,bit,No valid data found for a given bit in the nibble when running the de-skew pattern.
read_per_bit_deskew,16,15,nibble,bit,Timeout error waiting for all read data bursts to return
read_per_bit_deskew_dbi,17,1,nibble,bit,No valid data found for a given DBI bit in the nibble when running the de-skew pattern.
read_per_bit_deskew_dbi,17,15,nibble,bit,Timeout error waiting for all read data bursts to return
read_dqs_centering,18,1,nibble,bit,No valid data found for a given bit in the nibble.
read_dqs_centering,18,2,nibble,bit,Could not find the left edge of the data valid window to determine window size. All samples returned valid data.
read_dqs_centering,18,15,nibble,bit,Timeout error waiting for all read data bursts to return
read_sanity_check,19,1,nibble,na,Read data comparison failure
read_sanity_check,19,15,na,na,Timeout error waiting for all read data bursts to return
write_dqs_to_dq_deskew,20,1,byte,bit,"DQS de-skew error. No valid data found; therefore, ran out of taps during search."
write_dqs_to_dq_deskew,20,2,byte,bit,DQ de-skew error. Failure point not found.
write_dqs_to_dq_deskew,20,15,byte,na,Timeout error waiting for all read data bursts to return
write_dqs_to_dm_dbi_deskew,21,1,byte,na,"DQS de-skew error. No valid data found; therefore, ran out of taps during search."
write_dqs_to_dm_dbi_deskew,21,2,byte,na,DM/DBI de-skew error. Failure point not found.
write_dqs_to_dm_dbi_deskew,21,15,byte,na,Timeout error waiting for all read data bursts to return
write_dqs_to_dq(simple),22,1,byte,na,"No valid data found; therefore, ran out of taps during search."
