FGMEM_ID,HIDDEN,NAME,COMPATIBLE_DEVICES,MEM_DEVICE,MEM_TYPE,MEM_DENSITY,DATA_WIDTH,COMPATIBLE_RS_PINS,MEM_MANUFACTURER,MEM_INTERFACE_FILE,NUM_CFG_FILES,MEM_DEVICE_ALIAS,MEM_FAMILY
11,1,qspi_single,- xczu3eg xczu9eg xczu15eg xc7z007s xc7z012s xc7z014s xc7z010 xc7z015 xc7z020 xc7z030 xc7z035 xc7z045 xc7z100,qspi,qspi,0,x4-single,,,,1,,
12,1,qspi_dual_stacked,- xczu3eg xczu9eg xczu15eg xc7z007s xc7z012s xc7z014s xc7z010 xc7z015 xc7z020 xc7z030 xc7z035 xc7z045 xc7z100,qspi,qspi,0,x4-dual_stacked,,,,1,,
13,1,qspi_dual_parallel,- xczu3eg xczu9eg xczu15eg xc7z007s xc7z012s xc7z014s xc7z010 xc7z015 xc7z020 xc7z030 xc7z035 xc7z045 xc7z100,qspi,qspi,0,x8-dual_parallel,,,,1,,
14,1,nor,- xc7z007s xc7z012s xc7z014s xc7z010 xc7z015 xc7z020 xc7z030 xc7z035 xc7z045 xc7z100,nor,nor,0,NA,,,,1,,
15,1,nand_8,- xczu3eg xczu9eg xczu15eg xc7z007s xc7z012s xc7z014s xc7z010 xc7z015 xc7z020 xc7z030 xc7z035 xc7z045 xc7z100,nand,nand,0,NA,,,,1,,
16,1,nand_16,- xczu3eg xczu9eg xczu15eg xc7z007s xc7z012s xc7z014s xc7z010 xc7z015 xc7z020 xc7z030 xc7z035 xc7z045 xc7z100,nand,nand,0,NA,,,,1,,
18,0,s29gl128p-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl128p,bpi,128,x16,"""22:13""",Spansion,,1,,s29glxxxp
19,0,s29gl256p-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl256p,bpi,256,x16,"""23:13""",Spansion,,1,,s29glxxxp
20,0,s29gl512p-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl512p,bpi,512,x16,"""24:13""",Spansion,,1,,s29glxxxp
21,0,s29gl01gp-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl01gp,bpi,1024,x16,"""25:13""",Spansion,,1,,s29glxxxp
17,0,s29gl128s-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl128s,bpi,128,x16,"""22:13""",Spansion,,1,,s29glxxxs
22,0,s29gl256s-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl256s,bpi,256,x16,"""23:13""",Spansion,,1,,s29glxxxs
23,0,s29gl512s-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl512s,bpi,512,x16,"""24:13""",Spansion,,1,,s29glxxxs
24,0,s29gl01gs-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl01gs,bpi,1024,x16,"""25:13""",Spansion,,1,,s29glxxxs
25,0,s29gl128p-bpi-x8,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl128p,bpi,128,x8,"""23:13""",Spansion,,1,,s29glxxxp
26,0,s29gl256p-bpi-x8,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl256p,bpi,256,x8,"""24:13""",Spansion,,1,,s29glxxxp
27,0,s29gl512p-bpi-x8,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl512p,bpi,512,x8,"""25:13""",Spansion,,1,,s29glxxxp
28,0,s29gl01gp-bpi-x8,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,s29gl01gp,bpi,1024,x8,"""26:13""",Spansion,,1,,s29glxxxp
29,0,28f640p30t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f640p30t,bpi,64,x16,"""21:13""",Micron,,1,,p30
30,0,28f640p30b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f640p30b,bpi,64,x16,"""21:13""",Micron,,1,,p30
31,0,28f128p30t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f128p30t,bpi,128,x16,"""22:13""",Micron,,1,,p30
32,0,28f128p30b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f128p30b,bpi,128,x16,"""22:13""",Micron,,1,,p30
33,0,28f256p30t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f256p30t,bpi,256,x16,"""23:13""",Micron,,1,,p30
34,0,28f256p30b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f256p30b,bpi,256,x16,"""23:13""",Micron,,1,,p30
